,word,lemma
0,urlLink,urllink
1,September,septemb
2,2001,2001
3,This,thi
4,Robo,robo
5,roach,roach
6,Within,within
7,years,year
8,electronically,electron
9,controlled,control
10,insects,insect
11,carrying,carri
12,mini,mini
13,cameras,camera
14,sensory,sensori
15,devices,devic
16,could,could
17,used,use
18,variety,varieti
19,sensitive,sensit
20,missions,mission
21,like,like
22,crawling,crawl
23,earthquake,earthquak
24,rubble,rubbl
25,search,search
26,victims,victim
27,slipping,slip
28,doors,door
29,espionage,espionag
30,surveillance,surveil
