,word,lemma
0,urlLink,urllink
1,McCarthy,mccarthi
2,ghost,ghost
3,While,while
4,popular,popular
5,expressions,express
6,intolerance,intoler
7,appear,appear
8,sporadic,sporad
9,spontaneous,spontan
10,The,the
11,rally,ralli
12,smash,smash
13,Dixie,dixi
14,Chicks,chick
15,CDs,cd
16,much,much
17,impetus,impetu
18,boycott,boycott
19,single,singl
20,came,came
21,radio,radio
22,stations,station
23,owned,own
24,Clear,clear
25,Channel,channel
26,Communications,commun
27,Texas,texa
28,close,close
29,ties,tie
30,Bush,bush
31,company,compani
32,also,also
33,called,call
34,pro,pro
35,war,war
36,rallies,ralli
37,cropped,crop
38,past,past
39,week,week
40,And,and
41,received,receiv
42,state,state
43,imprimatur,imprimatur
44,administration,administr
45,certainly,certainli
46,created,creat
47,climate,climat
48,thrive,thrive
49,via,via
