,word,stem
0,urlLink,urllink
1,able,abl
2,see,see
3,called,call
4,BEKS,bek
5,little,littl
6,doctors,doctor
7,ORIONS,orion
8,currently,current
9,reside,resid
10,earth,earth
11,e,e
12,probably,probabl
13,administering,administ
14,injuries,injuri
15,easy,easi
16,also,also
17,image,imag
18,one,one
19,females,femal
20,climbing,climb
21,ships,ship
22,climb,climb
23,ship,ship
24,rescued,rescu
25,think,think
26,alot,alot
27,happening,happen
28,photo,photo
29,enlargement,enlarg
30,including,includ
31,CRITTERS,critter
32,never,never
33,seen,seen
