,word,stem
0,urlLink,urllink
1,Record,record
2,ice,ice
3,loss,loss
4,Arctic,arctic
5,Polar,polar
6,sea,sea
7,important,import
8,function,function
9,moderating,moder
10,global,global
11,energy,energi
12,balance,balanc
13,Sea,sea
14,albedo,albedo
15,0,0
16,8,8
17,That,that
18,reflects,reflect
19,80,80
20,solar,solar
21,radiation,radiat
22,When,when
23,melts,melt
24,water,water
25,2,2
26,The,the
27,goes,goe
28,absorbing,absorb
29,20,20
30,This,thi
31,creates,creat
32,positive,posit
33,feedback,feedback
34,warming,warm
35,We,We
36,could,could
37,paint,paint
38,Texas,texa
39,white,white
