,word,stem
0,urlLink,urllink
1,My,My
2,Stats,stat
3,QuitNet,quitnet
4,Your,your
5,Quit,quit
6,Date,date
7,11,11
8,16,16
9,2003,2003
10,10,10
11,44,44
12,00,00
13,AM,AM
14,7,7
15,days,day
16,18,18
17,hours,hour
18,57,57
19,minutes,minut
20,22,22
21,seconds,second
22,smoke,smoke
23,free,free
24,You,you
25,8,8
26,30,30
27,25,25
28,1,1
29,day,day
30,13,13
31,life,life
32,saved,save
33,Tip,tip
34,Body,bodi
35,Is,Is
36,Healing,heal
37,Itself,itself
38,Keep,keep
39,mind,mind
40,although,although
41,withdrawal,withdraw
42,symptoms,symptom
43,might,might
44,uncomfortable,uncomfort
45,normal,normal
46,harmless,harmless
47,temporary,temporari
48,They,they
49,sign,sign
50,body,bodi
51,healing,heal
52,cleansing,cleans
53,nicotine,nicotin
54,tars,tar
55,cigarette,cigarett
56,poisons,poison
57,grip,grip
58,long,long
59,time,time
60,whole,whole
61,system,system
62,returning,return
63,state,state
64,Think,think
65,positive,posit
66,process,process
67,recovering,recov
