,word,stem
0,urlLink,urllink
1,Coming,come
2,Nov,nov
3,8,8
4,Second,second
5,Total,total
6,Lunar,lunar
7,Eclipse,eclips
8,2003,2003
9,Skywatchers,skywatch
10,across,across
11,Americas,america
12,well,well
13,much,much
14,Europe,europ
15,Africa,africa
16,second,second
17,opportunity,opportun
18,view,view
19,one,one
20,nature,natur
21,beautiful,beauti
22,spectacles,spectacl
23,A,A
24,total,total
25,eclipse,eclips
26,Moon,moon
27,Weather,weather
28,permitting,permit
29,phase,phase
30,November,novemb
31,visible,visibl
32,North,north
33,America,america
34,South,south
35,western,western
36,half,half
37,Asia,asia
38,That,that
39,potential,potenti
40,viewing,view
41,audience,audienc
42,nearly,nearli
43,3,3
44,billion,billion
45,people,peopl
46,The,the
47,noticeable,notic
48,part,part
49,come,come
50,begins,begin
51,enter,enter
52,Earths,earth
53,umbra,umbra
54,small,small
55,scallop,scallop
56,darkness,dark
57,begin,begin
58,appear,appear
59,left,left
60,edge,edg
61,6,6
62,32,32
63,p,p
64,EST,est
65,expected,expect
66,take,take
67,hours,hour
68,33,33
69,minutes,minut
70,completely,complet
71,pass,pass
