,word,stem
0,urlLink,urllink
1,Paranormal,paranorm
2,beliefs,belief
3,linked,link
4,brain,brain
5,chemistry,chemistri
6,Whether,whether
7,believe,believ
8,paranormal,paranorm
9,may,may
10,depend,depend
11,entirely,entir
12,People,peopl
13,high,high
14,levels,level
15,dopamine,dopamin
16,likely,like
17,find,find
18,significance,signific
19,coincidences,coincid
20,pick,pick
21,meaning,mean
22,patterns,pattern
23,none,none
24,You,you
25,know,know
26,hunch,hunch
27,I,I
28,suspect,suspect
29,people,peopl
30,low,low
31,oblivious,oblivi
32,conspiracy,conspiraci
