,word,stem
0,urlLink,urllink
1,NHL,nhl
2,com,com
3,Igor,igor
4,Larionov,larionov
5,41,41
6,Chris,chri
7,Chelios,chelio
8,40,40
9,Dominik,dominik
10,Hasek,hasek
11,Brett,brett
12,Hull,hull
13,captain,captain
14,Steve,steve
15,Yzerman,yzerman
16,37,37
17,Luc,luc
18,Robitaille,robitail
19,Duchesne,duchesn
20,36,36
21,Fredrik,fredrik
22,Olausson,olausson
23,35,35
24,Nine,nine
25,Red,red
26,Wings,wing
27,players,player
28,older,older
29,Carolina,carolina
30,Hurricanes,hurrican
31,coach,coach
32,Paul,paul
33,Maurice,mauric
34,Detnews,detnew
35,Yes,ye
36,oldest,oldest
37,roster,roster
38,Scotty,scotti
39,Bowman,bowman
40,68,68
41,Coach,coach
42,younger,younger
43,nine,nine
