,frequency
today,2
was,4
interesting,2
to,13
say,1
the,11
least,1
i,19
felt,1
like,2
needed,1
alone,1
time,1
took,1
capone,2
local,1
college,1
campus,1
here,1
and,9
we,3
bonded,1
for,5
about,5
two,1
a,8
half,1
hours,2
he,1
played,1
fetch,1
then,3
relaxed,1
went,2
long,1
walk,1
it,7
rather,1
refreshing,1
allowed,1
me,2
get,3
some,2
thoughts,1
under,1
control,1
peaceful,1
on,4
way,1
home,1
stopped,1
by,1
an,1
old,1
friends,1
house,3
too,4
see,2
if,2
they,4
were,2
even,1
still,1
alive,1
which,1
so,4
spent,1
3,1
at,1
their,4
came,1
back,2
drop,1
off,2
picked,1
them,2
up,3
drove,1
around,1
all,1
night,3
just,1
talked,1
did,1
lot,4
of,7
catching,1
feel,1
got,1
my,3
chest,1
mean,1
have,3
people,2
talk,3
that,1
wouldn,1
t,2
trade,1
world,1
but,4
when,1
you,5
someone,1
who,1
knows,1
has,2
witnessed,1
seen,1
with,2
own,1
eyes,1
things,3
want,1
makes,1
more,1
relieving,1
mere,1
fact,1
can,1
give,1
opinion,1
based,1
knowing,1
past,1
involved,1
in,2
insightful,1
entertaining,1
tomorrow,2
is,2
going,1
be,1
very,1
busy,2
day,1
m,2
totally,1
not,3
looking,1
forward,1
hey,1
guess,3
days,2
are,2
whole,1
hell,1
better,1
than,1
lazy,1
boring,1
kind,1
takes,1
through,1
life,2
meaning,1
or,4
something,1
thats,1
whats,1
poppin,1
end,1
haven,1
checked,1
kel,1
posted,1
pics,2
last,1
will,1
check,1
right,1
now,1
ClownSteve,1
downloaded,1
Kelly,1
theyre,1
computer,1
one,1
livejournal,1
nothing,1
im,1
pass,1
out,1
ll,1
those,1
whenever,1
she,1
able,1
over,1
funny,1
okay,1
latah,1
