,frequency
last,1
night,3
i,13
went,2
to,14
lush,1
barroom,1
again,1
that,4
was,5
kind,1
of,7
cool,1
afterwards,1
kellys,1
apartment,1
and,13
attempted,1
watch,1
fight,1
club,1
left,1
there,3
came,1
home,2
let,2
capone,1
outside,1
where,3
he,14
got,1
bit,1
by,1
ants,1
so,2
had,1
give,4
him,2
a,7
bath,1
at,6
6,1
am,4
fun,1
no,1
then,2
mike,1
called,1
wanted,2
ride,1
from,1
didn,1
t,1
end,1
up,2
going,3
bed,1
until,1
like,3
7,1
this,1
morning,1
sucked,1
today,1
m,4
see,4
anchor,1
man,2
heading,1
out,1
downtown,1
pontiac,1
for,3
the,3
techofest,1
which,1
should,1
be,1
blast,1
excited,1
it,7
anyways,1
we,3
ll,1
how,4
goes,1
bye,1
does,7
kiss,2
you,35
butterflys,1
do,15
your,9
future,1
when,9
look,4
in,4
his,4
eyes,1
touch,1
hand,1
feel,2
hes,2
lay,2
down,1
play,1
with,3
hair,2
ever,11
gone,1
are,2
wishing,1
fuck,1
each,1
other,1
think,3
me,3
just,4
wish,3
sometimes,1
still,3
sally,1
steve,2
holds,1
gently,1
rub,2
sides,1
fingers,1
through,1
know,2
cares,1
drive,1
car,1
destination,1
far,1
would,2
move,1
2,1
different,1
states,1
stay,1
sacarafice,1
entire,1
life,1
because,1
felt,1
right,1
true,1
miss,3
comfort,1
waking,1
not,1
caring,1
what,1
gets,1
has,1
read,1
book,1
my,1
face,1
goto,1
dreams,1
place,1
wonder,4
if,4
thinking,1
as,2
much,1
hear,1
song,1
want,2
say,1
our,1
good,1
times,1
scream,1
were,1
year,1
ago,1
could,1
go,1
back,1
moon,1
about,1
love,1
kisses,1
hugs,1
im,1
fucking,1
even,1
care,1
who,1
hugging,1
butterflies,1
or,1
is,2
coverup,1
really,1
inside,1
