,frequency
i,6
ve,1
got,1
what,1
want,1
she,3
wont,1
call,1
or,2
contact,1
me,1
anymore,2
so,2
the,4
games,1
finally,1
over,1
and,3
its,1
time,1
to,4
rebuild,1
recoup,1
find,1
happiness,1
alone,1
then,1
venture,1
off,1
into,1
world,1
again,1
as,1
a,1
stronger,1
person,1
m,2
letting,1
everything,2
go,1
not,1
holding,1
on,2
anger,1
hurt,1
it,2
takes,1
much,1
effort,1
ending,1
this,1
note,1
wish,1
her,2
best,1
of,2
luck,1
in,1
all,1
future,1
endeavors,1
hope,1
that,1
is,1
able,1
get,1
out,1
life,1
hopes,1
for,1
goodluck,1
sal,1
peace,1
