,frequency
so,7
after,1
much,1
partying,1
this,4
weekend,5
i,31
think,3
got,2
it,7
all,5
out,2
of,7
my,4
system,1
was,8
probably,1
the,17
best,2
ve,1
had,1
since,1
drama,2
only,1
because,2
didn,1
t,3
really,4
about,4
other,3
than,1
recieving,1
a,9
bunch,1
mail,1
with,3
her,5
name,1
on,4
just,1
an,1
overall,1
smooth,1
today,3
is,6
sunday,1
fathers,2
day,3
m,9
not,2
going,3
to,9
go,1
over,2
parents,1
and,9
celebrate,2
though,1
SONday,1
in,2
reality,2
thats,1
right,2
haha,1
anywho,1
can,2
say,1
enjoying,1
single,2
life,2
miss,2
every,1
bit,1
old,1
but,4
for,2
circumstances,1
that,6
faced,1
guess,1
making,1
sucks,1
sally,1
even,1
have,2
simple,1
talk,1
anything,2
neither,1
one,1
us,1
know,1
what,1
each,1
up,8
do,3
or,1
doing,1
mean,1
its,2
hard,1
talked,2
few,1
girls,1
which,2
suppose,1
progress,1
sure,1
too,1
impressive,1
still,2
standing,2
strong,1
whole,1
being,1
thing,1
until,1
june,1
next,1
year,1
who,2
knows,1
how,1
will,1
end,1
fuck,1
at,3
least,1
goal,1
sit,1
hope,1
sometimes,1
when,2
phone,1
rings,1
we,2
re,2
be,1
able,1
civil,1
conversation,1
some,3
catching,1
those,1
hopes,1
fade,1
away,1
quickly,1
see,1
calling,1
wont,1
deny,1
ahhh,1
here,1
cool,1
shit,1
went,1
JD,1
s,1
piano,1
bar,3
they,1
called,1
me,3
stage,4
as,1
there,1
having,2
song,1
sung,1
girl,2
sitting,1
behind,1
seperates,1
from,1
chairs,1
she,2
little,1
cute,1
mexican,1
picked,1
brought,1
10,1
minutes,1
later,1
gone,1
thought,1
kind,1
funny,1
sigh,1
tonight,1
staying,1
home,1
gonna,1
cleaning,1
tomorrow,1
work,1
then,2
gym,1
small,1
get,1
together,1
our,1
place,1
like,2
house,1
warming,1
gig,1
gangstah,1
night,1
dont,1
hate,1
secret,1
note,1
hazards,1
3,1
times,1
way,1
down,1
road,1
