,frequency
why,2
am,3
i,24
up,7
its,1
3,2
30,1
in,3
the,20
fucking,2
morning,1
there,2
is,4
no,2
need,2
for,4
me,3
to,10
be,2
nothing,1
entertaining,1
going,1
on,3
one,3
talk,1
online,1
and,8
most,1
importantly,1
have,2
a,8
lot,2
of,9
things,1
that,5
accomplish,1
tomorrow,1
still,1
who,1
fuck,1
knows,1
more,2
think,1
about,1
it,5
fear,1
ll,1
never,1
get,1
tired,1
so,5
here,2
an,1
attempt,1
do,1
something,1
which,1
ordinarily,1
relaxes,1
stuff,1
party,1
last,1
night,3
was,10
pretty,1
dope,1
by,1
now,4
majority,2
you,2
guys,1
seen,1
pictures,1
know,1
looking,1
like,1
good,1
time,1
answer,1
all,1
your,1
questions,1
at,2
once,1
band,3
playing,2
darren,1
mcarty,1
s,1
he,1
defenseman,1
detroit,1
redwings,1
they,1
were,1
alright,2
best,1
part,1
entire,1
fact,2
got,4
fucked,1
hardly,1
drank,1
drop,1
but,3
when,1
came,2
smoking,1
smoked,1
wonderful,2
danced,4
after,1
done,1
as,1
matter,1
could,1
not,2
find,1
stop,1
dancing,1
just,1
home,2
posted,2
real,1
quick,3
crashed,1
today,1
fun,1
mike,1
went,1
rec,1
center,1
practiced,1
dodge,1
ball,1
well,1
plan,1
seeings,1
people,1
did,1
show,1
we,4
substituted,1
our,3
game,2
run,1
gym,1
hitting,1
weights,1
then,1
basketball,1
regardless,1
workout,1
ended,1
day,1
arbys,1
where,1
picked,1
dinner,1
minute,1
showered,1
because,1
EXTREMELY,1
hot,1
amazing,1
orgasmic,1
really,1
m,2
can,1
t,2
sleep,1
ve,1
maybe,1
relaxed,1
enough,1
try,1
again,1
go,1
1,1
2,1
latah,1
ps,1
couldn,1
happier,1
with,1
life,1
right,1
