,frequency
Since,1
I,28
really,2
have,12
nothing,3
else,1
to,23
post,2
at,3
this,11
moment,1
figured,1
would,1
go,1
ahead,1
and,16
acknowledge,1
some,1
of,10
my,5
favorite,1
comments,2
ve,10
gotten,1
guess,1
Dana,1
leads,1
the,17
group,1
think,6
ive,1
read,3
like,3
5,1
times,2
now,2
every,2
time,3
i,10
it,11
mean,2
leave,1
a,17
comment,2
but,8
am,1
either,1
amazed,1
or,2
speechless,1
end,3
You,8
seem,1
lot,4
lady,1
fans,1
Kepp,1
up,2
lol,2
one,3
favorites,1
Your,3
smarter,1
than,3
you,40
act,1
liked,1
too,2
ok,1
already,1
told,2
in,8
IM,1
imma,1
tell,2
again,1
has,3
be,3
fav,1
yours,1
your,8
stregnth,1
amazes,1
me,9
amaze,1
just,2
about,8
day,2
steve,1
deserve,5
smile,2
on,9
face,1
all,2
ALL,1
happiness,1
world,1
lynn,2
was,6
funny,1
mike,1
PIMPS,1
touching,2
Steve,3
are,4
such,2
an,1
amazing,3
person,2
inspire,1
with,2
perseverance,1
strength,1
ability,1
do,5
what,1
ever,2
want,2
life,6
that,20
since,3
met,2
quality,1
warms,1
room,1
personality,1
so,4
many,2
guys,1
wish,1
they,1
had,1
themselves,1
never,2
anyone,1
must,1
say,1
through,3
years,1
always,4
been,3
privilge,1
doll,1
m,5
sorry,2
for,5
went,2
glad,1
remaining,1
positive,1
staying,1
top,2
without,1
allowing,1
get,3
Forever,1
Friends,1
Nicole,1
Stockwell,1
makes,2
when,2
w,1
e,1
bitch,1
knew,1
where,1
u,3
got,1
ur,3
sick,1
ass,1
white,1
castle,1
those,2
chicken,1
things,8
kinda,1
good,1
maybe,1
cuz,1
we,1
smoked,1
b4,1
as,1
well,1
know,5
re,3
big,2
brother,3
It,1
s,1
scary,1
because,2
more,1
own,1
As,2
seen,1
before,1
going,3
here,4
Even,1
though,2
may,1
something,2
prevents,1
us,1
from,1
talking,1
long,1
periods,1
ll,2
if,3
need,1
confused,1
right,1
will,4
eventually,1
work,1
out,3
best,2
Sometimes,1
happen,1
make,2
better,2
All,1
is,2
try,2
not,2
gone,2
wrong,2
gained,1
back,1
thing,2
Example,1
Me,1
D,1
haha,1
anyway,1
saying,1
great,2
guy,1
girl,4
seriously,1
less,1
give,3
heart,1
100,1
can,1
t,2
appreciate,1
she,1
doesn,1
were,1
army,1
internet,1
chat,1
vzones,1
heard,1
One,1
noticed,1
pull,1
come,1
learning,1
Just,2
easier,1
find,1
happy,1
bad,1
getting,1
mushy,1
talk,2
tomorrow,1
Love,1
ya,1
Alice,1
yea,1
original,1
worst,1
far,1
hayy,1
hott,1
no,1
idea,1
who,1
r,1
website,1
then,1
saw,1
pic,1
clicked,1
somthin,1
im,1
xxblondebabe77xx,1
okay,1
found,1
stood,1
Boring,1
