,frequency
Well,1
I,3
m,2
certainly,1
behind,1
on,2
the,4
news,1
Apparently,1
urlLink,1
SubEthaEdit,2
V2,1
0,1
was,1
release,1
a,1
couple,1
days,1
ago,1
didn,1
t,2
even,1
realize,1
it,5
Also,1
looks,1
like,1
they,1
added,1
all,1
improvements,1
i,1
wanted,1
into,1
code,2
completion,1
line,1
numbering,1
always,1
and,2
new,1
window,1
size,1
setting,1
In,1
case,1
you,1
don,1
know,1
coolest,1
feature,1
of,1
is,2
fact,1
that,1
allows,1
writers,1
document,1
etc,1
to,1
collaborate,1
together,1
using,1
rendezvous,1
very,1
much,1
stoked,1
So,1
rush,1
out,1
get,1
Oh,1
best,1
part,1
s,1
free,1
