,word,lemma
0,Move,move
1,On,On
2,solo,solo
3,version,version
4,Sunday,sunday
5,Park,park
6,George,georg
7,Stop,stop
8,worrying,worri
9,going,go
10,move,move
11,If,If
12,know,know
13,gone,gone
14,Just,just
15,keep,keep
16,moving,move
17,I,I
18,chose,chose
19,world,world
20,shaken,shaken
21,The,the
22,choice,choic
23,may,may
24,mistaken,mistaken
25,choosing,choos
26,You,you
27,Look,look
28,want,want
29,Not,not
30,things,thing
31,done,done
32,Opened,open
33,eyes,eye
34,Taught,taught
35,see,see
36,Notice,notic
37,every,everi
38,tree,tree
39,Understand,understand
40,light,light
41,Concentrate,concentr
42,explore,explor
43,get,get
44,something,someth
45,new,new
46,Something,someth
47,vision,vision
48,Let,let
49,others,other
50,make,make
51,decision,decis
52,usually,usual
53,gave,gave
54,See,see
55,And,and
56,color,color
57,hair,hair
58,way,way
59,catches,catch
60,care,care
61,feeling,feel
62,We,We
63,always,alway
64,belonged,belong
65,together,togeth
66,belong,belong
67,Anything,anyth
68,let,let
69,come,come
70,Give,give
71,us,us
