,word,stem
0,urlLink,urllink
1,Overcoming,overcom
2,Terror,terror
3,Department,depart
4,Homeland,homeland
5,Security,secur
6,site,site
7,one,one
8,example,exampl
9,national,nation
10,warning,warn
11,system,system
12,end,end
13,stirs,stir
14,anxiety,anxieti
15,quells,quell
16,Loaded,load
17,scientific,scientif
18,terminology,terminolog
19,yet,yet
20,woefully,woefulli
21,bereft,bereft
22,tangible,tangibl
23,data,data
24,U,U
25,S,S
26,early,earli
27,mechanism,mechan
28,transformed,transform
29,us,us
30,nation,nation
31,worriers,worrier
32,warriors,warrior
33,day,day
34,Revere,rever
35,took,took
36,midnight,midnight
37,gallop,gallop
38,Colonial,coloni
39,militia,militia
40,trounced,trounc
41,redcoats,redcoat
42,Concord,concord
43,Not,not
44,shred,shred
45,duct,duct
46,tape,tape
47,needed,need
48,via,via
