,word,stem
0,urlLink,urllink
1,The,the
2,Vomitus,vomitu
3,Maximus,maximu
4,Museum,museum
5,In,In
6,stead,stead
7,creating,creat
8,art,art
9,I,I
10,eat,eat
11,luxury,luxuri
12,garbage,garbag
13,swill,swill
14,expensive,expens
15,wine,wine
16,black,black
17,forget,forget
18,miserable,miser
19,small,small
20,allowed,allow
21,become,becom
22,Im,Im
23,lost,lost
24,thousand,thousand
25,radioactive,radioact
26,strip,strip
27,malls,mall
28,glow,glow
29,piss,piss
30,yellow,yellow
31,dark,dark
32,Dirty,dirti
33,brown,brown
34,cyclones,cyclon
35,carbon,carbon
36,monoxide,monoxid
37,human,human
38,feces,fece
39,swirl,swirl
40,litter,litter
41,parking,park
42,lots,lot
43,covered,cover
44,shit,shit
45,dead,dead
46,skin,skin
47,Hollywood,hollywood
