,word,stem
0,Every,everi
1,morning,morn
2,I,I
3,read,read
4,articles,articl
5,urlLink,urllink
6,My,My
7,AltaVista,altavista
8,simply,simpli
9,automatic,automat
10,homepage,homepag
11,use,use
12,Free,free
13,Access,access
14,When,when
15,Famke,famk
16,Janssen,janssen
17,learning,learn
18,lap,lap
19,dance,danc
20,new,new
21,film,film
22,pay,pay
23,much,much
24,attention,attent
25,Later,later
26,day,day
27,realized,realiz
28,played,play
29,Dr,Dr
30,Jean,jean
31,Grey,grey
32,X,X
33,Men,men
34,movie,movi
35,thoughts,thought
36,fully,fulli
37,changed,chang
38,She,she
39,one,one
40,5,5
41,women,women
42,public,public
43,eye,eye
44,celebrities,celebr
45,find,find
46,attractive,attract
47,The,the
48,others,other
49,include,includ
50,Natalie,natali
51,Portman,portman
52,Christy,christi
53,Turlington,turlington
