,word,stem
0,urlLink,urllink
1,Unity,uniti
2,Resolve,resolv
3,Uh,Uh
4,Freedom,freedom
5,The,the
6,American,american
7,people,peopl
8,sleep,sleep
9,soundly,soundli
10,knowing,know
11,popular,popular
12,president,presid
13,U,U
14,S,S
15,history,histori
16,watching,watch
17,everything,everyth
18,listening,listen
19,electronic,electron
20,communications,commun
21,like,like
22,Big,big
23,Brother,brother
24,Please,pleas
25,report,report
26,unpatriotic,unpatriot
27,citizens,citizen
28,hear,hear
29,criticizing,critic
30,President,presid
31,via,via
32,Everlasting,everlast
33,Blort,blort
