,frequency
After,1
some,2
minor,1
confusions,1
and,1
deaths,1
we,1
picked,1
up,1
a,6
few,1
XP,1
last,1
night,2
Woot,1
Heh,1
Ok,1
next,1
Static,2
run,2
for,1
46,1
will,1
be,1
Friday,1
at,1
10pm,1
EDT,1
If,1
you,4
need,1
Blogger,1
account,1
to,1
post,2
messages,1
here,2
should,1
email,1
me,1
0,1
zeroaltitude,1
org,1
I,1
get,1
lots,1
of,2
spam,1
so,1
think,1
good,1
Subject,1
line,1
Post,1
all,1
desired,1
runs,2
And,1
if,1
have,1
conflict,1
with,1
suggested,1
Comment,1
No,1
Thursday,1
as,1
Shari,1
can,1
t,1
go,1
Thank,1
