,word,lemma
0,okay,okay
1,im,im
2,wierded,wierd
3,waited,wait
4,take,take
5,meds,med
6,midnight,midnight
7,last,last
8,night,night
9,I,I
10,fell,fell
11,asleep,asleep
12,taking,take
13,gives,give
14,times,time
15,purposfully,purpos
16,didnt,didnt
17,thinking,think
18,something,someth
19,wierd,wierd
20,sugars,sugar
21,shot,shot
22,2,2
23,bowls,bowl
24,kale,kale
25,soup,soup
26,dinner,dinner
27,maybe,mayb
28,garbanzo,garbanzo
29,beans,bean
30,sugar,sugar
31,inhibitor,inhibitor
32,whats,what
33,dillio,dillio
34,pre,pre
35,yesgterday,yesgterday
36,104,104
37,morning,morn
38,bl0od,bl0od
39,yesterday,yesterday
40,81,81
41,took,took
42,blood,blood
43,monday,monday
44,116,116
45,108,108
46,lunch,lunch
47,94,94
48,76,76
49,sunday,sunday
50,98,98
51,84,84
52,bllod,bllod
53,bedtime,bedtim
54,sat,sat
55,89,89
56,peices,peic
57,11,11
58,carb,carb
59,bread,bread
60,cereal,cereal
61,peaches,peach
62,within,within
63,one,one
64,hour,hour
65,155,155
66,goes,goe
67,slept,slept
68,till,till
69,4am,4am
70,woke,woke
71,1,1
72,3,3
73,30,30
74,tuesday,tuesday
75,finally,final
76,got,got
77,full,full
78,nights,night
79,sleep,sleep
80,confused,confus
81,fluctuations,fluctuat
