,word,stem
0,While,while
1,Jeff,jeff
2,I,I
3,movies,movi
4,tonight,tonight
5,lady,ladi
6,dropped,drop
7,large,larg
8,handful,hand
9,change,chang
10,consession,consess
11,stand,stand
12,It,It
13,least,least
14,50,50
15,coins,coin
16,immediately,immedi
17,bent,bent
18,help,help
19,pick,pick
20,She,she
21,bit,bit
22,older,older
23,let,let
24,Her,her
25,husband,husband
26,must,must
27,bathroom,bathroom
28,showed,show
29,finished,finish
30,They,they
31,thanked,thank
32,started,start
33,walk,walk
34,Just,just
35,got,got
36,good,good
37,look,look
38,Turns,turn
39,Lenny,lenni
40,Wilkins,wilkin
41,Quote,quot
42,NBA,nba
43,com,com
44,urlLink,urllink
45,wife,wife
46,Marilyn,marilyn
47,three,three
48,children,children
49,Leesha,leesha
50,Randy,randi
51,Jaime,jaim
52,two,two
53,grandchildren,grandchildren
54,Ashley,ashley
55,Nicole,nicol
56,make,make
57,season,season
58,home,home
59,Seattle,seattl
60,Pretty,pretti
61,cool,cool
