,word,lemma
0,urlLink,urllink
1,It,It
2,starting,start
3,sound,sound
4,little,littl
5,ominous,omin
6,gets,get
7,worse,wors
8,Perhaps,perhap
9,program,program
10,best,best
11,exemplifies,exemplifi
12,revolution,revolut
13,Bio,bio
14,Revolution,revolut
15,Brain,brain
16,Machine,machin
17,Interface,interfac
18,This,thi
19,finding,find
20,ways,way
21,detect,detect
22,directly,directli
23,decode,decod
24,signals,signal
25,brain,brain
26,thought,thought
27,turned,turn
28,acts,act
29,performed,perform
30,machine,machin
31,imagine,imagin
32,US,US
33,warfighters,warfight
34,need,need
35,use,use
36,power,power
37,thoughts,thought
38,things,thing
39,great,great
40,distances,distanc
