,word,lemma
0,urlLink,urllink
1,Affordances,afford
2,Design,design
3,jnd,jnd
4,org,org
5,The,the
6,word,word
7,affordance,afford
8,originally,origin
9,invented,invent
10,perceptual,perceptu
11,psychologist,psychologist
12,J,J
13,Gibson,gibson
14,1977,1977
15,1979,1979
16,refer,refer
17,actionable,action
18,properties,properti
19,world,world
20,actor,actor
21,person,person
22,animal,anim
23,To,To
24,affordances,afford
25,relationship,relationship
26,They,they
27,part,part
28,nature,natur
29,visible,visibl
30,known,known
31,desirable,desir
32,Some,some
33,yet,yet
34,discovered,discov
35,dangerous,danger
36,I,I
37,suspect,suspect
38,none,none
39,us,us
40,know,know
41,even,even
42,everyday,everyday
43,objects,object
