,word,lemma
0,urlLink,urllink
1,A,A
2,detournment,detourn
3,lies,lie
4,Is,Is
5,daily,daili
6,echo,echo
7,chamber,chamber
8,blogosphere,blogospher
9,reminiscent,reminisc
10,total,total
11,reality,realiti
12,vortex,vortex
13,reassures,reassur
14,yes,ye
15,centre,centr
16,universe,univers
17,damn,damn
18,would,would
19,suggest,suggest
20,afterwise,afterwis
21,If,If
22,start,start
23,weblog,weblog
24,afresh,afresh
25,approach,approach
26,take,take
27,Would,would
28,make,make
29,true,true
30,document,document
31,thoughts,thought
32,actions,action
33,yet,yet
34,another,anoth
35,tickertape,tickertap
36,everything,everyth
37,passes,pass
