,word,stem
0,like,like
1,waiting,wait
2,customers,custom
3,make,make
4,wait,wait
5,good,good
6,reason,reason
7,scheduled,schedul
8,service,servic
9,convenience,conveni
10,somehow,somehow
11,hes,he
12,conference,confer
13,arrive,arriv
14,one,one
15,else,els
16,show,show
17,pc,pc
18,need,need
19,fix,fix
20,noooooooo,noooooooo
21,must,must
22,fuk,fuk
23,em,em
24,65,65
25,hour,hour
26,great,great
27,news,news
28,blood,blood
29,breakfast,breakfast
30,96,96
31,rocks,rock
32,mean,mean
33,really,realli
