,frequency
My,2
reference,1
forms,1
trickled,1
in,6
last,2
week,1
and,4
that,8
left,1
the,10
weekend,2
for,2
me,1
to,12
buck,1
up,2
my,9
cross,1
cultural,1
adaptation,1
essay,1
something,1
I,13
ve,6
been,2
really,3
struggling,1
with,4
What,1
s,5
a,11
significant,1
experience,1
you,7
had,1
adapting,1
different,1
culture,1
You,2
d,2
think,1
three,1
month,1
stint,1
Europe,1
would,2
make,1
question,1
of,3
this,2
kind,1
easy,1
answer,1
but,3
it,4
doesn,2
t,6
tourism,1
as,2
turns,1
out,3
lend,1
itself,1
forcing,1
adapt,1
anything,1
other,2
than,1
washing,1
your,2
clothes,1
sink,1
wish,1
could,1
say,1
needed,1
wipe,1
butt,1
leaf,1
once,1
life,1
just,1
not,2
case,1
hence,1
application,2
PC,2
Back,1
story,1
then,1
filled,1
huge,1
envelope,1
night,1
sent,1
on,4
its,1
way,1
morning,1
There,1
an,1
education,1
addendum,2
decided,1
against,1
filling,1
only,1
because,1
have,1
pretty,1
pathetic,1
looking,1
effort,1
IT,1
hand,1
was,1
five,1
pages,1
long,1
Huzzah,1
still,1
rather,1
spend,1
two,1
years,1
sitting,1
front,1
computer,1
Whateverstan,1
don,1
want,1
limit,1
placement,1
opportunities,1
either,1
So,1
Now,1
wait,1
nomination,1
On,1
rents,1
This,3
told,1
them,1
submitted,1
met,1
recruiter,1
Their,1
heads,1
didn,2
explode,1
They,1
key,1
car,1
or,1
light,1
hair,1
fire,1
Still,1
Dad,1
says,1
m,1
making,1
mistake,1
Mom,1
said,1
she,1
wouldn,1
be,1
able,1
sleep,1
stressed,1
importance,1
optimism,1
opposed,1
well,1
know,1
flipped,1
irrational,1
fatalism,1
DNC,1
Politics,1
Feh,1
Here,1
take,1
politics,1
Dear,2
Republicans,1
George,1
W,1
Bush,1
is,3
best,2
got,2
Are,2
fucking,2
serious,2
Democrats,1
John,1
Kerry,1
That,1
all,1
may,1
return,1
regular,1
business,1
