,word,stem
0,urlLink,urllink
1,Lifeboat,lifeboat
2,Foundation,foundat
3,The,the
4,Zero,zero
5,G,G
6,Solution,solut
7,Terrorism,terror
8,nonprofit,nonprofit
9,nongovernmental,nongovernment
10,organization,organ
11,dedicated,dedic
12,providing,provid
13,solutions,solut
14,safeguard,safeguard
15,humanity,human
16,growing,grow
17,threat,threat
18,terrorism,terror
19,technological,technolog
20,cataclysm,cataclysm
21,This,thi
22,humanitarian,humanitarian
23,pursuing,pursu
24,possible,possibl
25,options,option
26,including,includ
27,self,self
28,sustaining,sustain
29,technologies,technolog
30,using,use
31,AI,AI
32,nanotechnology,nanotechnolog
33,emphasis,emphasi
34,contained,contain
35,space,space
36,arks,ark
37,Think,think
38,way,way
39,If,If
40,among,among
41,six,six
42,billion,billion
43,people,peopl
44,room,room
45,access,access
46,doomsday,doomsday
47,device,devic
48,capable,capabl
49,killing,kill
50,everyone,everyon
51,would,would
52,feel,feel
53,safe,safe
54,secure,secur
55,We,We
56,Yes,ye
57,Eric,eric
58,Klien,klien
59,man,man
60,vision,vision
61,It,It
62,first,first
63,Atlantis,atlanti
64,Project,project
65,And,and
66,may,may
67,last,last
68,Society,societi
69,For,for
70,A,A
71,Logo,logo
72,Free,free
73,TV,TV
74,But,but
75,I,I
76,like,like
77,wish,wish
78,luck,luck
79,anyway,anyway
