,word,stem
0,urlLink,urllink
1,Motor,motor
2,Trend,trend
3,Names,name
4,Toyota,toyota
5,Prius,priu
6,2004,2004
7,Car,car
8,Year,year
9,I,I
10,think,think
11,found,found
12,reason,reason
13,cancel,cancel
14,subscription,subscript
15,six,six
16,days,day
17,renewed,renew
18,two,two
19,years,year
20,How,how
21,world,world
22,car,car
23,year,year
24,believe,believ
25,least,least
26,single,singl
27,glaring,glare
28,issue,issu
29,contention,content
30,The,the
31,back,back
32,end,end
33,Just,just
34,look,look
35,boot,boot
36,design,design
37,engineers,engin
38,So,So
39,simply,simpli
40,run,run
41,ideas,idea
42,We,We
43,tried,tri
44,inverting,invert
45,emblem,emblem
46,lights,light
47,fender,fender
48,square,squar
49,tail,tail
50,round,round
51,clear,clear
52,damn,damn
53,Altezza,altezza
54,ends,end
55,backends,backend
56,triangle,triangl
57,full,full
58,trunks,trunk
59,hatchbacks,hatchback
60,half,half
61,everything,everyth
62,Well,well
63,almost,almost
64,Let,let
65,try,tri
66,reverse,revers
67,psych,psych
68,customers,custom
69,going,go
70,take,take
71,ugliest,ugliest
72,rear,rear
73,known,known
74,existence,exist
75,Pontiac,pontiac
76,Aztec,aztec
77,squish,squish
78,space,space
79,give,give
80,Briliant,briliant
81,Ugh,ugh
