,word,lemma
0,urlLink,urllink
1,The,the
2,News,new
3,Media,media
4,Could,could
5,Be,Be
6,Our,our
7,Weakest,weakest
8,Link,link
9,We,We
10,need,need
11,media,media
12,keep,keep
13,challenging,challeng
14,government,govern
15,friction,friction
16,makes,make
17,us,us
18,stronger,stronger
19,But,but
20,uninformed,uninform
21,journalists,journalist
22,effectively,effect
23,question,question
24,authority,author
25,For,for
26,example,exampl
27,well,well
28,meaning,mean
29,misguided,misguid
30,efforts,effort
31,classify,classifi
32,much,much
33,information,inform
34,could,could
35,harm,harm
36,national,nation
37,security,secur
38,slowing,slow
39,delivery,deliveri
40,research,research
41,results,result
42,beneficial,benefici
43,society,societi
44,And,and
45,unless,unless
46,public,public
47,informed,inform
48,know,know
49,analyze,analyz
50,issues,issu
51,assess,assess
52,provided,provid
53,leaders,leader
