,word,lemma
0,urlLink,urllink
1,Aquarius,aquariu
2,Let,let
3,sun,sun
4,shine,shine
5,The,the
6,Fifth,fifth
7,Dimension,dimens
8,When,when
9,moon,moon
10,seventh,seventh
11,house,hous
12,And,and
13,Jupiter,jupit
14,aligns,align
15,Mars,mar
16,Then,then
17,peace,peac
18,guide,guid
19,planets,planet
20,love,love
21,steer,steer
22,stars,star
23,This,thi
24,dawning,dawn
25,age,age
26,Age,age
27,Harmony,harmoni
28,understanding,understand
29,sympathy,sympathi
30,trust,trust
31,abounding,abound
32,No,No
33,false,fals
34,hoods,hood
35,derisions,deris
36,golden,golden
37,living,live
38,dreams,dream
39,visions,vision
40,Mystic,mystic
41,crystal,crystal
42,revelations,revel
43,mind,mind
44,true,true
45,liberations,liber
46,sunshine,sunshin
47,let,let
