,word,stem
0,Current,current
1,Phase,phase
2,Gibbous,gibbou
3,Pisces,pisc
4,Wednesday,wednesday
5,9,9
6,17,17
7,PM,PM
8,PDT,pdt
9,Neptune,neptun
10,8,8
11,Until,until
12,Monday,monday
13,12,12
14,21,21
15,AM,AM
16,switch,switch
17,Mars,mar
18,27,27
19,Aries,ari
20,Fourth,fourth
21,This,thi
22,phase,phase
23,looks,look
24,like,like
25,Full,full
26,Moon,moon
27,growth,growth
28,overcoming,overcom
29,also,also
30,time,time
31,tension,tension
32,A,A
33,crescendo,crescendo
34,projects,project
35,begun,begun
36,First,first
37,During,dure
38,getting,get
39,ready,readi
40,finishing,finish
41,things,thing
42,The,the
43,analyze,analyz
44,evaluate,evalu
45,prepare,prepar
46,magick,magick
47,good,good
48,artistic,artist
49,endeavors,endeavor
50,beauty,beauti
51,patience,patienc
52,health,health
53,fitness,fit
54,change,chang
55,decisions,decis
56,Night,night
57,Star,star
58,Goddesses,goddess
59,correspond,correspond
60,Traits,trait
61,twelfth,twelfth
62,sign,sign
63,zodiac,zodiac
64,Ruler,ruler
65,House,hous
66,association,associ
67,Twelfth,twelfth
68,Keywords,keyword
69,imaginative,imagin
70,sacrificing,sacrif
71,impressionable,impression
72,sympathetic,sympathet
73,compassionate,compassion
74,illusive,illus
75,secretive,secret
76,universalism,univers
77,mysticism,mystic
78,spirituality,spiritu
79,Water,water
80,Mutable,mutabl
81,Sources,sourc
82,urlLink,urllink
83,Geocities,geociti
84,Site,site
85,Astrology,astrolog
86,Online,onlin
