,word,lemma
0,urlLink,urllink
1,Suicide,suicid
2,Pseudoscience,pseudosci
3,The,the
4,Union,union
5,Concerned,concern
6,Scientists,scientist
7,February,februari
8,report,report
9,pointed,point
10,something,someth
11,science,scienc
12,press,press
13,known,known
14,years,year
15,Bush,bush
16,administration,administr
17,respect,respect
18,Ideologues,ideologu
19,prefer,prefer
20,make,make
21,laws,law
22,nature,natur
23,go,go
24,Eventually,eventu
25,whole,whole
26,vast,vast
27,bubble,bubbl
28,burst,burst
29,fairy,fairi
30,tale,tale
31,unreality,unreal
32,Few,few
33,held,held
34,accountable,account
35,quackeries,quackeri
36,purged,purg
37,forgotten,forgotten
38,hushed,hush
39,Except,except
40,lasting,last
41,effect,effect
42,health,health
43,morale,moral
44,self,self
45,esteem,esteem
46,American,american
47,people,peopl
