,frequency
Uh,1
oh,1
The,2
Dante,2
s,2
Inferno,2
Test,2
has,1
banished,1
you,2
to,1
the,5
Eigth,1
Level,11
of,2
Hell,1
Malebolge,2
Here,1
is,1
how,1
matched,1
up,1
against,1
all,1
levels,1
Score,1
urlLink,11
Purgatory,1
Repenting,1
Believers,2
Very,3
Low,2
1,1
Limbo,1
Virtuous,1
Non,1
2,1
Lustful,1
Extreme,5
3,1
Gluttonous,1
High,3
4,1
Prodigal,1
and,2
Avaricious,1
5,1
Wrathful,1
Gloomy,1
6,1
City,1
Dis,1
Heretics,1
7,1
Violent,1
8,1
Fraudulent,1
Malicious,1
Panderers,1
9,1
Cocytus,1
Treacherous,1
Take,1
Divine,1
Comedy,1
