,frequency
So,1
I,7
completely,1
formatted,1
my,5
hard,2
drive,2
again,1
At,1
least,1
this,2
time,1
had,1
some,1
sort,1
of,2
backup,1
The,2
purpose,1
for,3
format,1
was,1
a,3
brief,1
interlude,1
with,1
urlLink,2
Solaris,4
Since,1
8,1
does,1
not,1
support,2
GeForce,1
video,2
card,2
resolution,1
topped,1
off,1
at,1
640x480,1
in,2
glorious,1
black,1
and,2
white,1
Pathetically,1
doesn,1
t,1
any,1
the,2
cards,2
have,2
Box,1
O,1
Random,1
Hardware,1
BORH,1
is,1
actually,1
much,1
lighter,1
than,1
usual,1
since,2
offloaded,1
4,2
modems,1
2,1
sound,1
drives,1
1,1
floppy,1
on,1
grandfather,1
just,1
hope,1
enough,1
hardware,1
to,1
build,1
spare,1
computer,1
Anyway,1
eBay,1
might,1
be,1
source,1
solace,1
could,1
get,1
supported,1
vid,1
like,1
20,1
