,frequency
So,1
I,18
get,3
home,2
from,3
work,1
a,9
bit,1
late,1
today,1
5,2
PM,1
to,8
be,3
more,2
exact,1
As,2
pull,1
into,2
my,11
parking,1
lot,1
hear,2
cacophony,1
of,11
high,1
pitched,1
squeals,1
and,8
beeps,1
Annoyed,1
though,1
intrigued,1
the,24
sounds,1
seemed,1
familiar,1
closer,1
apartment,4
door,1
realize,1
almost,2
simultaneously,1
that,8
sound,6
is,7
coming,2
six,1
smoke,6
detectors,6
going,2
off,3
at,1
once,1
Can,1
someone,1
cautiously,2
bust,1
an,2
did,2
just,7
No,2
IRON,1
ON,1
AN,1
IRONING,1
BOARD,1
But,1
it,4
was,7
cool,1
non,1
burning,1
RUN,1
UPSTAIRS,1
Nothing,1
W,1
h,3
t,6
e,2
l,2
The,2
usual,1
way,1
damned,1
find,1
one,6
being,1
set,1
then,2
flagellate,1
large,1
cloth,1
object,1
usually,1
bath,1
towel,1
in,10
its,1
general,1
direction,2
means,1
no,6
amount,1
flagellating,1
will,1
help,1
By,1
this,2
point,1
am,1
completely,1
deaf,2
so,3
much,1
cannot,1
even,1
tell,2
where,2
any,1
All,2
are,1
on,1
same,1
circuit,1
started,2
disconnecting,1
them,3
by,1
Being,1
under,1
6,1
foot,1
tall,1
were,3
out,2
reach,1
grabbed,1
down,3
disconnected,3
Damn,1
all,3
ripping,1
again,1
if,5
possible,1
got,1
sixth,1
already,1
but,1
continued,1
couldn,1
ones,2
had,1
removed,1
tossed,1
floor,1
still,2
sounding,1
or,3
there,3
hidden,1
detector,3
head,1
After,1
eternity,1
nuts,1
timed,1
silence,1
deafening,1
None,1
roommates,1
made,1
sense,1
Thinking,1
how,1
great,1
luck,1
knew,1
left,1
would,1
fire,1
Replaced,3
two,1
downstairs,1
problem,3
upstairs,1
hall,1
other,1
bedrooms,1
Replace,1
bedroom,1
FUCKING,1
DEAFENING,1
CACOPHONY,1
GETS,1
REVENGE,1
You,2
know,3
little,1
confused,1
path,1
people,1
comicly,1
take,1
when,1
they,1
don,1
go,1
what,1
do,1
rush,1
quickly,1
reverse,1
spin,1
around,1
circle,1
charge,1
forward,1
own,2
room,2
Ripped,1
stopped,1
chaos,1
because,1
single,1
isn,1
working,1
properly,1
can,1
right,1
