,frequency
urlLink,1
Teddy,3
Bear,1
s,18
Picnic,4
Cast,1
Scott,33
son,5
Bruce,48
father,2
Dave,25
mother,1
is,5
singing,4
his,3
to,22
sleep,4
time,5
for,2
teddy,5
bears,7
Those,1
little,4
are,1
having,2
a,12
wonderful,1
tonight,1
tries,3
leave,5
because,1
appears,1
be,6
asleep,1
As,1
soon,1
as,2
this,8
wakes,1
up,4
and,16
looks,1
if,3
he,4
not,5
at,7
all,5
tired,3
See,1
them,2
gaily,1
play,1
about,3
They,4
love,2
sing,2
shout,1
again,2
same,1
thing,3
happens,1
haven,1
t,17
got,1
any,1
cares,1
Gets,1
but,3
continues,1
But,2
it,10
six,3
o,2
clock,2
Their,1
mummies,1
daddies,1
will,1
take,1
home,1
bed,2
Because,2
they,6
re,4
talking,1
Good,1
night,3
Flips,1
light,6
off,1
Dad,5
back,3
on,5
still,2
doorway,1
Uh,5
yes,2
Were,2
the,18
there,9
Yes,3
All,1
ever,3
was,7
were,6
Goodnight,4
How,2
how,2
come,1
picnic,2
ended,1
If,1
so,4
good,2
I,23
mean,1
even,3
dark,1
from,2
um,2
frolicking,1
Oh,10
Frolicking,1
very,1
tiring,1
Okay,6
what,3
eat,1
Well,6
The,1
ate,1
buttons,1
felt,1
Ewww,1
no,6
That,1
bear,1
food,1
It,1
like,4
hot,1
dogs,1
Mmm,2
yeah,2
you,22
What,8
sees,1
goes,2
No,3
wasn,1
actually,1
then,2
do,4
know,4
A,3
guy,2
work,2
told,2
me,8
Who,2
Hank,3
who,3
You,4
don,4
him,2
Maybe,1
should,5
call,1
think,5
that,7
would,1
idea,1
Why,2
doesn,2
have,3
phone,2
kind,2
of,6
freak,2
works,1
in,7
mailroom,1
Ohh,1
Now,1
go,1
can,3
trying,1
piece,1
together,1
sloppy,1
narrative,1
sighs,1
try,2
uh,7
counting,1
sheep,3
cries,3
whines,1
Ahh,1
make,1
those,1
slaughtered,2
bloated,1
sun,1
live,1
ones,1
bounding,1
over,2
your,4
head,2
thought,2
dead,1
didn,2
tell,1
alive,1
tagging,1
their,1
toes,1
enters,1
going,2
around,1
here,1
crying,1
Maa,1
turn,2
clings,1
onto,1
arm,1
oh,1
There,3
Yeah,1
Bears,2
story,2
sounds,1
utter,1
bullshit,1
Just,1
remember,1
loves,1
more,1
use,1
language,1
house,2
m,4
gonna,3
wash,1
mouth,1
out,7
with,3
soup,2
soap,1
dear,1
Don,2
contradict,1
front,1
boy,1
hero,1
get,2
some,2
mom,1
Night,2
Tiger,1
approaches,1
give,1
kiss,1
puts,1
fists,2
self,1
defense,1
kisses,1
alone,1
Bullshit,3
Cut,1
parents,1
bedroom,1
So,2
isn,1
true,1
Um,2
Not,1
exactly,1
weren,1
helping,1
where,1
last,1
weekend,1
Hmm,1
an,3
affair,2
shocked,1
An,1
my,2
God,1
shakes,1
honest,2
few,2
guys,1
goblins,1
started,1
raining,1
gumdrops,1
we,2
happened,1
into,2
wizard,2
tavern,1
had,1
too,1
much,1
dew,1
drink,1
shouldn,1
drive,1
did,2
right,2
by,1
driving,1
called,1
darndest,1
honey,1
leaf,1
wouldn,1
dial,1
fine,1
next,1
just,2
harder,1
hold,1
sweetie,1
Alright,1
turns,2
nightstand,1
Doris,7
Turns,1
Frantically,1
woman,1
named,1
came,1
other,1
day,1
said,1
she,5
d,2
been,1
meeting,1
sleazy,1
motel,1
rooms,1
carrying,1
child,1
wanted,1
wonder,1
could,1
see,1
why,1
curious,1
well,1
pique,1
interest,1
Honey,1
She,2
goat,2
magical,1
And,1
delights,1
playing,1
tricks,1
us,1
mere,1
mortals,1
am,1
relieved,2
also,1
Both,1
laugh,1
feel,2
such,1
idiot,2
natural,1
forgive,1
jealous,1
cuddles,1
covers,1
