,frequency
Pro,2
lifers,3
in,1
Britain,1
are,4
attempting,1
to,2
stop,1
the,11
separation,1
of,5
Siamese,1
twins,1
joined,1
at,1
lower,1
abdomen,1
The,2
procedure,1
would,2
save,1
life,1
one,1
while,1
other,1
could,1
not,2
be,1
saved,1
pro,1
vying,1
have,1
House,2
Lords,2
rule,1
on,2
this,1
matter,1
since,1
it,1
is,4
along,1
lines,1
abortion,1
Their,1
idea,1
that,1
either,1
postpone,1
or,1
oppose,1
seperation,1
Here,2
kicker,1
if,1
two,1
seperated,1
they,1
will,1
both,1
die,1
within,1
months,1
broad,1
generalization,1
complete,1
idiots,1
urlLink,1
Read,1
a,1
related,1
article,1
CNN,1
