,frequency
Nothing,1
quite,1
like,1
slogging,1
through,1
an,1
array,1
of,4
websites,1
to,3
find,2
out,1
the,5
recommended,1
fuel,2
for,4
your,1
new,1
crappy,1
car,4
Considering,1
that,7
was,3
produced,1
in,1
1992,1
trying,1
information,1
about,1
it,2
online,1
is,1
interesting,1
Most,1
sites,2
have,2
info,2
are,2
either,1
all,2
encompasing,1
cover,1
a,3
certain,1
aspect,1
cars,1
safety,1
example,1
or,2
they,1
some,1
enthusiast,1
site,1
just,2
type,1
thus,1
third,1
generation,1
Camaro,2
I,3
finally,1
found,1
my,1
base,1
V6,2
engine,1
only,1
requires,1
regular,2
unleaded,1
know,1
Chevy,1
used,1
4,1
cyl,1
and,1
would,1
obviously,1
take,1
so,1
figured,1
possible,1
mapped,1
midgrade,1
89,1
octane,2
Nope,1
87,1
