,frequency
As,1
I,8
get,1
older,1
you,6
know,2
won,2
t,5
be,1
a,2
pretty,1
object,1
The,2
wenches,1
come,1
to,5
me,4
of,1
their,1
own,1
accord,1
so,3
will,1
need,1
my,6
money,1
So,1
am,1
saving,1
up,2
more,2
and,4
simply,1
for,4
myself,1
dear,1
son,1
You,2
may,1
as,1
well,1
For,2
mean,1
go,1
on,2
in,2
sins,1
the,4
end,1
let,2
tell,2
sin,1
is,3
sweet,1
All,1
abuse,1
it,5
but,1
all,3
men,1
live,1
only,1
difference,1
that,4
others,1
do,2
sly,1
openly,1
And,3
other,1
sinners,1
fall,2
upon,1
being,1
simple,1
your,2
paradise,2
Alyosha,1
not,2
taste,1
It,1
s,3
proper,1
place,1
gentleman,1
even,1
if,3
exists,1
believe,1
asleep,1
don,3
wake,1
again,1
can,1
pray,1
soul,1
like,1
want,1
damn,1
That,1
philosophy,1
F,1
Dostoyevsky,1
