,frequency
I,6
ve,1
never,1
been,1
called,1
a,1
racist,3
in,1
my,2
life,1
nor,1
do,1
believe,1
that,5
ever,1
will,1
When,1
most,1
people,1
especially,1
men,1
are,3
accused,1
of,6
being,1
they,2
vehemently,1
exclaim,1
But,1
some,2
friends,4
black,3
This,1
may,1
very,1
well,2
be,1
true,1
but,1
assured,1
these,2
act,1
more,1
stereotypically,1
white,1
than,1
the,6
average,2
could,1
almost,1
say,1
fall,1
into,1
this,1
category,1
Two,1
mine,1
just,1
sort,1
They,1
have,3
normal,1
midwestern,1
accents,1
wear,1
t,1
shirts,1
and,1
clothes,1
you,1
can,1
find,1
at,1
mall,1
etc,2
Lastly,1
extreme,1
public,3
courtesy,2
The,1
editor,2
Chicago,1
Tribune,1
comments,1
on,1
urlLink,1
lack,1
blacks,1
By,1
way,1
is,1
also,1
Does,1
agreeing,1
make,1
me,2
No,1
equally,1
discriminate,1
against,1
anyone,1
pisses,1
off,1
