,frequency
Setting,1
A,1
Gameworks,3
or,4
some,4
sort,2
of,19
gaming,1
facility,2
Lots,1
old,2
people,1
dimly,1
lit,1
similar,1
to,11
a,26
casino,2
in,11
that,10
respect,1
Basically,1
it,9
had,3
the,29
feel,1
and,16
bowling,1
alley,1
combined,1
First,1
scene,2
I,22
m,2
sitting,1
down,2
playing,3
matching,1
game,5
seems,1
like,5
Mastermind,2
with,8
quarters,5
An,1
older,1
lady,1
approaches,1
from,4
nowhere,1
demands,1
know,3
where,1
my,3
gamer,2
card,3
is,6
If,1
you,5
have,3
been,2
Dave,1
Busters,1
instead,1
using,1
get,1
credit,1
sorts,1
can,3
put,1
money,2
on,6
show,2
pocket,1
full,2
implying,1
just,1
she,7
storms,1
off,3
She,1
returns,1
about,2
5,3
minutes,1
later,1
hands,1
me,9
large,1
stack,1
chips,1
4,2
25,1
2,2
10,1
1,1
fist,1
fill,1
Twizzlers,1
The,9
look,2
gives,1
as,1
walks,1
was,11
ve,1
your,1
place,1
before,1
kid,1
Have,1
fun,1
enjoy,1
sugar,1
Possibly,1
thought,2
poor,1
since,2
only,2
showed,1
dollars,2
vaguely,1
remember,3
winning,1
lot,1
then,5
being,1
given,1
tour,4
man,1
charge,1
giving,1
reminded,2
urlLink,2
Tom,1
Poston,1
Newhart,1
but,5
suit,2
Rod,1
Roddy,1
would,5
wear,1
Well,1
he,2
worn,1
died,1
breast,1
cancer,1
During,1
passing,1
by,1
small,1
room,1
back,2
mirrors,1
walls,1
rainbow,1
motif,1
adorning,1
ceiling,1
He,1
said,1
case,1
anyone,1
felt,1
dancing,1
could,1
also,1
be,2
rented,1
out,8
Oddly,1
enough,1
empty,1
lights,2
were,1
imagine,1
how,1
those,1
rainbows,1
house,1
want,1
shake,1
groove,1
thang,1
probably,1
go,1
suck,1
popsicle,1
eat,1
sausage,1
Second,1
dream,2
gets,2
fuzzy,1
for,5
bit,3
after,1
there,1
this,2
one,2
counter,2
way,1
no,1
around,1
person,2
running,1
none,1
other,2
than,1
Beth,2
Manoongian,1
an,1
acquaintance,1
school,1
This,2
trivia,1
twist,1
questions,1
are,1
extremely,1
difficult,1
prize,1
answering,1
single,1
question,6
runs,1
millions,1
decide,1
give,3
shot,1
hoping,1
will,1
help,1
little,1
As,1
pulls,1
long,1
box,1
cards,1
places,1
ledge,1
face,1
front,1
phone,1
call,1
While,1
isn,1
t,4
watching,1
try,1
see,1
what,1
answer,3
quite,1
make,2
It,1
looks,1
Yeh,2
backwards,1
something,2
What,1
beach,1
Jo,1
Beach,1
Sort,1
trick,1
already,1
hem,1
haw,1
exclaim,1
actually,1
Lev,1
which,1
doesn,1
sense,1
waking,1
world,1
Since,1
free,1
her,1
pull,1
another,1
By,1
time,1
someone,1
else,1
has,1
joined,1
at,2
seemed,1
between,1
18,1
22,1
years,1
male,1
dark,1
hair,1
frat,1
boy,1
next,1
wasn,1
even,1
along,1
lines,1
SomeForeignName,1
furious,2
think,1
riddle,1
figure,2
country,1
name,1
translation,1
random,1
guy,1
looked,1
each,1
trying,1
woke,1
up,1
should,1
rent,1
brain,1
studies,1
into,1
abnormal,1
