,frequency
Here,1
is,4
some,1
background,1
as,1
to,7
what,1
has,1
been,1
going,1
on,2
in,2
my,2
life,1
the,4
past,1
5,1
months,1
First,1
I,7
am,1
seeing,1
someone,1
new,1
Her,1
name,1
Leah,1
and,3
try,1
explain,1
how,1
perfectly,1
relationship,1
developing,1
would,1
be,4
spoil,1
it,2
Expect,1
hear,1
more,2
about,2
that,2
later,1
Second,1
related,1
first,1
m,1
no,2
longer,1
with,1
Laura,1
Things,1
were,1
a,2
bit,1
rough,1
at,1
end,2
of,1
last,1
semester,1
she,1
decided,1
No,1
hard,1
feelings,1
part,1
Third,1
will,2
graduating,1
come,1
April,1
25th,1
Fourth,1
have,1
idea,1
where,1
after,1
said,1
graduation,1
There,1
job,1
possibility,1
down,1
Alpharetta,1
Georgia,1
but,1
won,1
t,1
saying,1
any,1
until,1
know,1
for,1
sure,1
