,frequency
Two,1
months,1
ago,1
I,17
would,6
never,1
have,3
thought,1
that,3
a,14
significant,1
portion,1
of,7
my,9
computing,1
time,1
involve,1
Linux,3
This,1
semester,2
am,1
in,2
EECS,1
481,1
Software,1
Engineering,1
give,1
you,1
link,1
to,7
the,18
class,5
homepage,1
but,2
professor,1
decided,2
content,1
isn,1
t,1
for,4
common,1
man,1
it,7
s,1
password,1
protected,1
The,5
core,1
this,5
is,6
single,2
monolithic,1
redundant,1
repetition,1
know,3
project,6
only,1
constrain,1
must,2
concern,1
certain,1
domain,2
software,5
process,2
How,1
self,1
referential,1
Our,1
be,2
about,1
We,2
on,11
manager,2
with,2
some,1
automatic,1
environment,1
creation,1
scripts,6
Basically,1
company,1
use,1
Windows,4
front,1
end,1
manage,1
his,1
developers,2
He,1
could,2
see,1
what,2
projects,1
they,2
are,1
working,2
experience,3
etc,2
Whenever,1
he,2
had,2
new,6
select,1
which,2
should,1
work,2
and,8
click,1
button,1
setup,2
few,1
necessities,1
A,1
web,1
site,1
mailing,1
list,1
CVS,1
repository,1
needed,1
server,1
operating,1
system,1
backend,2
Though,1
urlLink,6
OpenBSD,1
fairly,1
well,1
going,1
2,4
years,1
admin,1
we,1
chose,1
RedHat,5
7,2
decision,1
was,2
made,2
simply,1
because,1
greater,1
install,3
base,1
When,1
first,1
started,1
developing,1
did,2
since,3
no,1
one,1
else,1
correctly,1
Majordomo,1
Apache,1
let,1
alone,1
how,1
write,1
Perl,1
used,3
VMWare,2
main,1
machine,2
life,1
much,1
easier,1
as,2
tested,1
these,1
Before,1
do,1
backup,1
entire,1
two,1
clicks,1
If,1
went,1
haywire,1
often,1
restoration,1
simple,1
Enter,1
laptop,3
IBM,1
Thinkpad,1
600,1
Ever,1
got,2
thing,1
taken,1
every,1
worked,1
code,1
while,2
professors,1
droned,1
idea,1
installed,1
beautifully,1
Slowly,1
surely,1
XP,2
partition,1
touched,1
less,2
boots,1
into,1
by,1
default,2
open,1
source,1
has,1
improved,1
dramatically,1
last,1
6,1
days,1
AbiWord,1
reads,1
most,1
Word,1
files,1
cleanly,1
other,1
than,1
tables,1
bleh,1
Mozilla,1
0,1
9,2
now,1
browser,1
EVERYWHERE,1
Macs,1
at,1
machines,1
just,1
found,1
love,2
Ximian,2
Red,1
Carpet,1
Think,1
Update,1
steroids,1
will,1
trying,1
Desktop,1
next,1
Expect,1
more,1
reports,1
