,frequency
Added,1
pictures,2
from,2
the,17
urlLink,5
Fourth,2
of,6
July,1
I,7
guess,1
really,2
should,1
add,1
some,5
content,1
other,3
than,2
just,3
On,1
Lee,6
Ben,4
Russ,2
and,12
went,2
over,1
to,17
Mark,2
s,5
place,1
for,6
a,9
BBQ,2
A,2
few,3
people,4
stopped,1
by,1
friends,1
Umich,1
We,3
started,2
cooking,1
meat,1
before,1
we,8
realized,1
that,3
didn,1
t,2
have,1
any,1
tools,1
us,2
ran,1
store,1
picked,1
up,2
set,1
but,3
was,5
after,1
had,1
already,1
melted,1
plastic,1
spatula,1
trying,1
remove,1
hamburgers,1
cooked,1
chatted,1
hours,1
then,4
decided,1
go,2
downtown,1
Seattle,2
fireworks,3
took,3
his,1
car,2
Let,1
say,1
it,2
case,1
blind,2
leading,1
Once,1
found,1
where,1
were,2
supposed,1
be,1
traffic,1
unbareable,1
It,1
at,1
least,1
an,1
hour,1
find,1
parking,1
another,1
30,1
minutes,1
walk,1
park,1
met,2
with,2
in,3
time,1
snacks,1
The,1
show,1
wasn,1
terribly,1
eventful,1
Livonia,2
almost,1
as,1
good,1
Afterward,1
most,1
group,2
going,1
bars,2
down,2
Pioneer,1
Square,1
Our,1
dwindled,1
myself,2
guy,1
named,1
Matt,2
Neither,1
nor,1
wanted,1
bar,1
are,3
fairly,1
laid,1
back,2
so,1
succumbed,1
their,1
will,2
Instead,1
7,1
11,1
slurpees,1
Krispy,1
Kreme,1
18,1
donuts,1
Pretty,1
lame,1
actually,1
pretty,1
fun,2
That,1
bit,1
more,1
typical,1
night,1
guys,1
hanging,1
out,2
quite,1
often,1
They,1
bunch,1
this,1
is,1
helping,1
me,1
adjust,1
area,2
never,1
forget,1
Ann,1
Arbor,1
yet,1
m,1
glad,1
ve,1
here,1
