,frequency
I,3
love,1
worthless,1
data,2
While,1
writing,1
an,1
email,1
scanned,1
my,1
desk,1
and,1
observed,1
that,1
there,1
were,1
more,1
empty,1
cans,1
of,3
Diet,6
Pepsi,3
than,1
Coke,3
My,1
tastes,1
are,1
changing,1
in,1
so,1
many,1
ways,1
Curioius,1
as,1
to,1
what,1
was,1
the,1
most,1
popular,1
soft,1
drink,1
found,1
this,1
urlLink,1
Beverage,1
Share,1
Volume,1
Coca,1
Cola,1
Classic,1
19,1
8,3
13,1
5,2
7,3
Mountain,1
Dew,1
6,3
Sprite,1
4,2
Dr,1
Pepper,1
0,2
Seven,1
Up,1
1,3
Caffeine,1
Free,1
Minute,1
Maid,1
Reg,1
