,frequency
I,2
finally,1
got,1
my,2
MDE,1
project,4
We,4
run,4
some,3
large,2
image,1
processing,1
tasks,1
that,5
over,2
many,1
processors,1
ve,1
developed,2
our,4
own,2
code,4
to,9
distribute,1
computations,1
several,1
Unix,1
systems,2
but,2
it,5
s,1
really,1
out,1
of,6
date,1
In,1
particular,1
we,2
need,1
take,1
advantage,1
the,16
compute,1
power,1
in,7
Linux,1
clusters,4
have,2
small,1
cluster,3
and,6
would,4
liek,1
exploit,1
capabilities,1
Center,2
for,5
Parallel,2
Computing,2
One,1
students,1
provided,1
following,1
request,1
think,1
this,3
make,2
a,5
great,1
senior,1
design,1
with,2
real,1
applicability,1
commercial,1
world,1
How,1
about,3
tool,1
set,1
running,1
background,1
C,5
or,2
MatLab,1
jobs,2
Kind,1
like,2
launch,3
program,1
use,2
on,3
local,1
Athlons,1
A,1
script,1
detect,1
what,1
machines,1
are,2
idle,1
joblist,1
serially,1
Alternatively,1
even,2
better,1
they,1
could,1
get,3
an,1
account,1
at,1
Athlon,2
These,1
SMP,2
parallel,2
computing,1
additions,2
language,1
For,1
independent,2
processes,1
tracking,1
not,1
be,1
hard,1
write,1
scripts,1
modify,1
so,1
can,2
these,2
maybe,1
automatically,1
give,1
feedback,1
process,1
So,1
users,1
without,2
having,1
learn,1
details,2
Automatic,1
transfer,1
files,1
interactive,1
authentication,1
big,1
little,1
endian,1
compensation,1
may,1
pose,1
challenges,1
This,1
is,2
seriously,1
under,1
description,1
going,1
meeting,1
professor,2
suggested,1
solid,1
The,1
cool,1
part,1
he,1
works,1
biomedical,1
engineering,1
department,1
My,1
bio,1
degree,1
will,1
easier,1
his,1
head,1
