,frequency
Benadryl,3
bad,1
I,12
ve,1
been,1
taking,2
Claritin,4
for,2
years,1
now,2
at,5
least,2
since,1
high,1
school,2
Just,1
recently,1
they,2
came,1
out,3
with,1
an,2
over,2
the,7
counter,1
form,1
of,3
Now,1
my,4
health,1
insurance,1
doesn,1
t,1
cover,1
perscriptions,1
to,9
and,4
OTC,1
version,2
costs,1
13,1
ten,1
doses,1
When,2
prescription,1
had,2
run,1
needed,1
something,1
tide,1
me,1
until,2
made,1
it,1
doctor,1
next,1
would,1
just,2
get,1
off,1
brand,1
urlLink,2
antihistamine,1
decongestant,1
went,1
store,1
pick,1
some,1
up,2
were,1
all,2
so,1
decided,1
try,1
Not,1
good,1
call,1
Some,1
people,1
take,2
as,1
a,3
sleep,4
aid,2
know,1
why,1
took,1
two,1
in,2
past,1
few,1
days,1
needs,1
have,1
gone,1
25,1
even,2
fell,1
asleep,1
car,1
when,1
Leah,1
s,1
mom,1
was,1
driving,1
us,1
back,1
Ann,1
Arbor,1
nap,1
from,1
noon,1
2,1
PM,1
today,1
though,1
got,1
more,1
than,1
normal,1
amount,1
last,1
night,1
Does,1
anyone,1
need,1
m,1
not,1
anymore,1
these,1
