,frequency
About,1
a,10
week,1
ago,1
I,36
sent,2
out,3
an,2
email,7
to,33
just,2
about,7
everyone,2
in,10
my,15
address,3
book,3
that,23
didn,4
t,9
live,1
Washington,1
The,2
outlined,1
new,4
contact,4
info,3
for,7
both,1
home,1
and,19
work,1
s,2
it,8
Well,1
some,4
people,5
seem,1
appreciate,1
this,6
information,1
From,2
lwashnoc,1
yahoo,1
com,1
Date,1
Mon,1
6,1
Oct,1
2003,1
18,1
04,1
05,1
0700,1
PDT,1
Laura,3
Washnock,1
DiPietro,1
To,1
mbibik,1
AT,1
umich,1
DOT,1
edu,1
Mike,1
want,6
you,47
stay,2
completely,3
of,21
life,6
is,14
after,1
all,3
why,2
broke,6
up,10
with,13
This,1
means,1
do,6
not,12
hear,3
from,4
contacting,1
any,2
way,3
friends,5
family,3
Trust,1
me,13
they,4
either,2
did,5
earlier,1
because,3
talk,1
don,4
care,4
your,13
phone,1
number,1
job,1
In,1
short,1
what,2
are,5
doing,1
also,1
know,4
going,1
on,3
If,1
looking,1
closure,1
here,2
made,3
miserable,1
You,4
were,5
emotionally,1
abusive,1
controlling,2
put,1
down,1
feel,2
stupid,3
being,4
myself,1
When,2
was,5
too,1
afraid,1
be,4
direct,1
am,3
anymore,1
sick,1
trying,2
weasel,2
back,3
into,5
Leave,3
alone,4
Seeing,1
as,7
how,5
regular,1
reply,3
might,1
appreciated,1
always,1
need,1
get,2
the,15
last,1
word,1
open,1
letter,1
First,1
off,1
relax,1
We,1
have,8
talked,1
since,1
beginning,1
year,1
two,1
emails,1
over,1
period,1
time,1
inquiring,1
well,2
love,1
considered,1
send,1
That,1
bit,1
dramatic,1
Twice,1
mentioned,1
leaving,1
can,1
only,2
assume,1
brought,1
received,1
same,1
Had,1
known,1
would,3
upset,1
them,4
so,7
much,3
definitely,1
reconsidered,1
sending,1
Sarcasm,1
aside,1
will,2
trust,2
when,2
say,1
A,1
few,2
like,1
while,3
we,4
together,2
m,2
sure,1
more,1
switched,1
sides,1
certain,1
including,1
at,2
least,2
one,4
sibling,1
yours,1
think,2
differently,1
may,1
requested,1
shun,1
but,3
cannot,2
affect,1
their,2
true,1
feelings,1
Who,1
now,2
It,3
shame,1
make,2
own,1
decisions,1
sorry,1
must,2
acted,1
mirror,1
sort,1
allowing,1
see,1
yourself,3
who,1
truly,1
does,1
take,3
someone,3
whose,1
intellectual,1
hobby,1
watch,1
VH1,1
hours,1
end,1
themselves,1
Try,1
reading,1
Better,1
yet,1
try,1
challenging,1
Outside,1
required,1
courses,1
anything,1
difficult,2
college,1
honors,1
program,1
there,3
classes,1
offered,1
rest,1
school,2
So,1
Is,1
works,1
Why,2
many,1
other,2
ability,1
break,3
cordial,1
Actually,1
if,2
remember,1
correctly,1
no,1
whatsoever,1
exes,1
Do,2
understand,2
forgive,1
Are,1
emotional,4
abilities,1
black,1
white,1
once,1
emotion,2
toward,1
turn,1
hate,4
even,1
separate,1
concepts,1
friend,1
significant,1
Hopefully,1
learn,1
Alex,3
Hey,1
he,1
good,2
elementary,1
He,1
probably,1
main,1
reasons,1
still,2
him,2
Forgive,1
forget,1
Here,1
situation,1
whole,1
met,1
our,1
relationship,2
having,1
problems,2
Having,1
small,1
shred,1
morality,1
knew,1
couldn,1
cheat,1
decided,1
Though,1
While,1
had,2
channel,2
energy,1
somewhere,1
easiest,1
went,1
easier,1
support,2
close,1
slandered,1
enough,1
gain,1
saw,1
latest,1
felt,1
slight,1
twinge,2
interest,1
kill,1
Instead,1
forgiving,1
forgetting,1
redirected,1
anger,1
spewed,1
forth,1
For,1
outburst,1
applaud,1
Even,1
wrong,1
proved,1
paragon,1
puerility,1
destined,1
become,1
M,1
