,frequency
I,10
believe,2
George,1
Carlin,1
said,1
it,9
best,2
Here,2
is,13
my,2
problem,2
with,7
the,39
ten,8
commandments,8
why,3
exactly,1
are,4
there,1
10,3
You,3
simply,1
do,2
not,6
need,3
The,4
list,5
of,15
was,4
artificially,2
and,25
deliberately,1
inflated,2
to,22
get,1
up,4
s,13
what,3
happened,1
About,1
5,2
000,1
years,1
ago,1
a,16
bunch,1
religious,2
political,2
hustlers,1
got,1
together,2
try,2
figure,1
out,2
how,3
control,2
people,5
keep,3
them,7
in,9
line,1
They,2
knew,1
were,4
basically,1
stupid,2
would,1
anything,1
they,8
told,1
so,4
announced,1
that,5
God,1
had,2
given,1
some,1
on,4
mountain,1
when,5
no,2
one,6
around,2
Well,2
let,1
me,1
ask,1
you,17
this,6
making,1
shit,1
did,1
pick,1
Why,1
9,1
or,1
11,1
ll,1
tell,1
because,3
sound,1
official,1
Ten,2
sounds,1
important,1
basis,1
for,4
decimal,1
system,1
decade,1
psychologically,1
satisfying,1
number,2
top,1
most,2
wanted,1
dressed,1
So,4
having,1
really,4
marketing,1
decision,1
It,3
clearly,1
bullshit,2
document,1
sell,1
better,1
will,1
now,3
show,1
can,1
reduce,1
come,2
little,3
more,3
workable,1
logical,1
am,1
going,3
use,1
Roman,1
Catholic,1
version,1
those,2
ones,1
taught,1
as,6
boy,1
Let,1
start,1
first,2
three,2
AM,1
THE,4
LORD,2
THY,5
GOD,2
THOU,9
SHALT,9
NOT,8
HAVE,1
STRANGE,1
GODS,1
BEFORE,1
ME,1
TAKE,1
NAME,1
OF,1
IN,1
VAIN,1
KEEP,1
HOLY,1
SABBATH,1
Right,1
off,1
bat,1
pure,1
Sabbath,1
day,1
Lord,1
name,3
strange,1
gods,1
Spooky,1
language,4
Designed,1
scare,1
primitive,1
In,2
way,1
does,1
superstitious,1
nonsense,1
like,1
apply,1
lives,1
intelligent,1
civilized,1
humans,1
21st,1
century,1
we,7
re,9
down,7
7,1
Next,1
HONOR,1
FATHER,1
AND,1
MOTHER,1
Obedience,1
respect,3
authority,1
Just,1
another,1
controlling,1
truth,2
obedience,1
shouldn,1
t,6
be,6
automatic,1
should,2
earned,1
based,1
parent,1
performance,1
Some,1
parents,1
deserve,1
but,1
don,3
period,1
six,1
Now,1
interest,1
logic,1
something,1
religion,3
very,1
uncomfortable,1
jump,1
bit,1
STEAL,1
BEAR,1
FALSE,1
WITNESS,1
Stealing,1
lying,1
actually,1
these,2
two,7
both,1
prohibit,2
same,3
kind,1
behavior,2
dishonesty,1
combine,2
call,3
commandment,3
thou,4
shalt,7
dishonest,1
And,3
suddenly,2
long,2
combining,1
have,4
others,1
belong,1
COMMIT,1
ADULTRY,1
COVET,2
NEIGHBOR,2
S,2
WIFE,1
Once,1
again,1
type,1
case,1
marital,2
infidelity,3
difference,1
coveting,2
takes,1
place,1
mind,3
But,4
think,4
outlaw,1
fantasizing,1
about,5
someone,1
else,1
wife,1
guy,1
gonna,2
he,1
waxing,1
his,2
carrot,1
good,1
idea,1
unfaithful,1
four,1
honesty,3
part,1
overall,1
value,1
could,2
fidelity,2
give,2
simpler,1
positive,1
instead,1
negative,1
whole,1
thing,1
always,2
honest,2
faithful,3
3,1
GOODS,1
This,1
just,1
plain,1
fuckin,2
Coveting,2
your,1
neighbor,2
goods,1
keeps,1
economy,1
Your,1
gets,1
vibrator,1
plays,1
o,2
ye,1
want,1
too,1
creates,1
jobs,1
leave,1
alone,1
throw,1
2,1
big,2
haven,1
talked,1
yet,1
KILL,1
Murder,1
has,1
never,1
murder,2
More,1
been,1
killed,2
god,1
than,2
any,1
other,1
reason,1
All,1
look,1
at,1
Northern,1
Ireland,1
Cashmire,1
Inquisition,1
Crusades,1
World,1
Trade,1
Center,1
see,2
seriously,1
folks,2
take,1
kill,2
devout,1
being,1
negotiable,1
depends,1
who,2
doin,1
killin,1
gettin,1
all,2
revised,1
Thou,3
provider,1
thy,2
nookie,1
real,1
hard,1
anyone,1
unless,1
course,1
pray,1
different,1
invisible,1
man,1
Two,1
Moses,1
carried,1
hill,1
pocket,1
wouldn,1
Alabama,1
posting,1
courthouse,1
wall,1
provided,1
additional,1
thyself,1
