,frequency
While,1
Jeff,1
and,6
I,4
were,1
at,5
the,3
movies,1
tonight,1
a,4
lady,1
dropped,1
large,1
handful,1
of,1
change,1
while,1
consession,1
stand,1
It,1
was,3
least,1
50,1
coins,1
so,2
immediately,1
bent,1
down,1
to,2
help,1
her,2
pick,2
it,3
up,3
She,1
bit,1
older,1
she,1
let,1
me,2
all,1
Her,1
husband,2
must,1
have,2
been,1
bathroom,1
because,1
he,1
showed,1
just,1
as,1
finished,1
They,2
both,1
thanked,1
started,1
walk,1
off,2
Just,1
then,1
got,1
good,1
look,1
Turns,1
out,1
Lenny,3
Wilkins,1
Quote,1
from,1
NBA,1
com,1
about,1
urlLink,1
his,1
wife,1
Marilyn,1
three,1
children,1
Leesha,1
Randy,1
Jaime,1
two,1
grandchildren,1
Ashley,1
Nicole,1
make,1
their,1
season,1
home,1
in,1
Seattle,1
Pretty,1
cool,1
