,frequency
urlLink,4
The,2
Girls,1
Room,1
tour,1
was,13
g,1
d,1
awesome,1
night,1
started,1
off,2
excellently,1
with,3
the,15
local,2
act,2
A,1
powerful,1
voice,2
skillful,1
piano,1
work,1
and,7
undeniably,1
emotional,1
lyrics,2
marked,1
performance,2
by,1
Keri,3
Noble,1
No,1
one,3
expecting,1
anything,1
from,1
especially,1
since,1
we,1
had,4
seen,2
her,5
walking,1
around,1
nervously,1
before,3
She,2
played,2
Perfect,1
two,2
other,1
songs,4
of,6
which,1
I,6
have,4
forgotten,1
titles,1
Tara,6
MacLean,1
reason,1
why,1
she,5
three,1
After,2
began,1
to,6
walk,1
stage,3
while,1
crowd,2
in,3
an,1
uproar,1
ran,1
over,1
practically,1
shoved,1
back,1
on,3
My,1
group,2
gave,1
a,3
standing,1
O,1
when,1
done,1
Following,1
this,1
display,1
musical,1
excellence,1
mockery,1
Amy,1
Correia,1
Described,1
as,3
having,1
unique,1
eclectic,1
that,5
is,2
just,2
way,1
saying,1
sucks,1
Expect,1
www,1
AmyCorreiaSucks,1
com,1
too,2
long,1
Starfishin,1
most,1
annoying,1
ever,2
heard,2
Angels,1
Collide,1
good,2
but,1
only,1
thing,1
will,1
say,1
about,2
girl,1
Knowing,1
coming,1
next,1
my,1
sat,1
floor,1
directly,1
front,1
Two,1
people,1
4,1
times,1
great,1
things,1
shows,1
vivacious,1
cute,1
talented,1
they,1
all,2
said,1
We,1
got,1
sing,1
along,1
If,1
You,1
Could,1
because,1
did,1
it,2
for,1
last,1
time,1
Detroit,1
area,1
loved,1
Shannon,1
McNally,1
more,1
crap,1
Fast,1
Forward,1
signing,1
session,1
shy,1
talk,1
either,1
or,1
