,frequency
Haha,1
I,12
m,1
a,7
tool,1
Just,1
today,2
Kat,2
and,6
went,2
to,7
Big,1
Apple,1
Bagels,1
grab,2
quick,2
lunch,1
before,1
we,1
both,2
headed,1
off,2
work,1
yes,1
working,1
on,1
Saturday,1
ordered,1
my,2
usual,1
Roma,1
Italian,1
sub,1
32oz,2
Diet,2
Coke,2
We,2
were,1
bit,1
tired,1
but,2
believe,1
was,3
the,4
one,1
with,1
worse,1
coordiation,1
While,1
reaching,1
for,5
drink,1
slightly,1
nudged,1
it,4
Thinking,1
about,1
knock,1
table,1
made,1
hoping,1
save,1
Instead,1
increased,1
drinks,1
velocity,1
redirected,1
its,1
destination,1
vector,1
directly,1
toward,1
Needless,1
say,1
absolutely,1
drenched,1
her,2
in,1
of,1
Thankfully,1
she,2
wasn,1
t,1
too,1
upset,1
tried,1
clean,1
up,1
as,1
best,1
could,2
basically,1
covered,1
nothing,1
be,1
done,1
quickly,1
finished,1
our,1
meal,1
outside,1
then,1
home,1
Minus,1
50,2
points,2
me,1
obvious,1
plus,1
or,1
not,1
freaking,1
out,1
