,frequency
urlLink,1
Date,1
Negotiations,1
Cast,1
Bruce,38
Gerald,22
Mark,39
is,8
behind,2
his,9
desk,5
rubbing,1
a,31
credit,1
or,1
business,1
card,2
down,3
cheek,2
enters,1
the,21
office,2
How,2
are,2
you,12
ya,3
old,3
skunk,1
Ah,2
how,3
snake,1
They,3
begin,1
shaking,2
hands,2
Pretty,1
good,3
laughs,2
Good,2
to,18
see,2
Hey,2
was,2
your,11
weekend,1
Aw,1
not,4
too,3
bad,1
A,4
little,4
short,2
though,1
yours,1
but,2
Both,3
laugh,1
Business,1
Yeah,2
finally,1
stop,1
and,15
sit,1
in,10
chair,1
front,1
of,16
it,11
So,2
Pause,1
Well,2
I,18
would,1
now,2
be,3
willing,2
take,5
look,3
at,7
proposal,2
client,19
making,2
my,10
Lori,1
On,1
behalf,1
Dennis,1
m,3
um,1
happy,1
show,1
He,3
one,4
large,1
index,1
which,1
looks,1
It,3
s,21
perfectly,1
straightforward,2
damn,1
don,5
t,7
think,5
Uh,2
what,3
do,7
mean,3
sorry,1
can,5
no,2
way,4
say,1
that,10
this,4
represents,1
interests,3
standard,2
itinerary,1
dinner,2
dancing,3
mumbles,1
into,1
hand,1
intercourse,8
abruptly,1
beg,1
pardon,1
confident,1
Dinner,2
You,3
quick,2
hump,2
Do,1
use,1
expression,1
Children,1
come,1
here,1
huh,1
90,1
dollar,2
an,4
evening,3
hooker,3
This,1
Plaza,1
Oh,1
really,3
she,6
120,1
least,1
comes,1
across,1
pause,6
believe,2
said,1
sense,1
uh,3
has,2
certain,2
feelings,1
for,3
My,1
makes,1
62,1
000,1
dollars,1
year,1
But,1
does,2
have,2
emotional,1
towards,1
got,1
great,1
car,1
moustache,1
love,1
Yes,1
No,1
sure,1
Back,1
off,4
ll,2
back,2
perhaps,2
d,1
big,1
sigh,1
opens,2
up,4
briefcase,1
drops,1
folder,2
containing,1
thick,1
stack,1
papers,1
onto,1
flips,1
through,1
few,2
pages,1
without,1
looking,1
anything,1
forgot,1
thing,1
What,1
The,2
actual,1
date,7
wedding,1
color,1
bridesmaids,1
gowns,1
Come,3
17,2
week,2
dating,2
commitment,2
All,3
wants,2
get,2
know,7
all,1
In,2
completely,1
different,1
gotten,1
quite,1
clients,1
Opens,1
drawer,2
ready,1
out,2
folders,1
Let,2
just,2
her,2
roster,1
ex,1
boyfriends,1
inadmissible,1
realizes,1
error,1
gently,1
closes,1
Doobie,1
Brothers,1
right,2
we,5
were,1
hasty,1
with,3
Perhaps,1
accommodate,1
obvious,1
bit,1
more,2
about,1
six,2
schedule,4
possible,2
sexual,5
on,10
longer,1
interested,1
keep,1
selling,1
me,2
Last,1
time,1
turned,1
cheap,1
handjob,1
drive,1
Your,1
ejaculated,1
Sadly,1
Very,1
sadly,1
let,2
sleeping,1
dogs,1
lie,1
shall,1
Three,1
guaranteed,3
dates,1
two,1
three,1
Five,1
five,1
Now,1
ticket,1
Loveland,1
That,5
heap,1
lovin,1
Love,3
o,1
rama,1
Fest,1
Woodstock,1
God,2
sake,2
Long,1
goofy,1
smile,1
face,1
thought,1
calling,1
him,1
closer,2
Gerry,1
Ger,1
Guh,1
Why,2
forget,1
clause,1
Okay,2
nature,1
course,1
Fine,1
fashioned,1
eagerly,1
okay,1
guarantee,1
will,2
consume,1
27,1
ounces,6
gin,6
panty,1
peeler,1
Call,1
tool,1
trade,1
Sorry,1
C,1
mon,1
only,1
weighs,2
105,1
pounds,2
111,2
shoes,1
letting,1
drink,2
than,1
8,1
Jeez,1
14,1
Maybe,1
10,2
maybe,1
could,1
scarf,1
12,2
11,2
empty,2
stomach,2
taps,1
fingers,1
calculating,1
head,1
Done,1
getting,1
secretary,1
pick,1
contracts,1
Monday,1
lean,1
over,1
kiss,1
each,1
other,1
turns,1
leave,1
then,1
they,1
subtle,1
double,1
