,frequency
Crazy,2
Waiter,2
Story,2
So,1
after,1
Chris,1
amateur,1
martial,1
arts,1
fight,1
in,3
Rochester,1
Hills,1
on,1
Saturday,1
we,4
all,4
went,1
to,5
Red,1
Robin,1
Novi,1
We,1
knew,2
our,2
waiter,1
had,3
lost,1
it,3
when,1
first,1
impression,1
of,6
him,2
was,4
seeing,1
dance,1
YMCA,1
with,2
extreme,1
fervor,1
Over,1
the,6
course,1
night,1
he,3
asked,2
us,3
if,2
ever,1
been,2
Philadelpia,1
because,2
Rocky,1
theme,1
song,1
being,1
played,1
liked,1
Shining,2
a,2
picture,1
Jack,1
Nicholson,1
glowing,1
eyes,1
explained,1
entire,1
story,1
even,1
though,1
forgot,2
Lauras,2
drink,1
food,1
then,1
gave,1
an,1
extra,1
pitcher,1
beer,1
make,1
up,1
for,1
his,1
insanity,1
His,1
excuse,1
that,3
working,1
since,1
10,1
AM,1
and,1
already,1
midnight,1
My,1
reasoning,1
states,1
is,1
always,1
like,1
ploy,1
get,1
better,1
tips,1
