,frequency
I,21
ve,1
been,2
wrestling,1
with,4
hardware,1
issues,1
for,4
about,1
four,1
days,1
now,1
That,2
is,3
what,1
get,2
naming,1
a,11
server,5
fireball,4
Basically,1
the,32
machine,3
that,3
has,3
my,8
internet,3
router,2
NAT,2
box,2
development,1
web,1
database,1
RDP,1
proxy,1
gone,1
through,1
quite,1
few,1
upgrades,1
It,2
originally,1
was,4
old,3
overclocking,1
desktop,4
thus,1
running,2
300,1
MHz,3
Celeron,1
upgraded,1
to,13
500,1
PIII,1
and,9
it,9
currently,1
700,1
Duron,1
A,1
month,1
or,2
so,3
ago,1
bought,1
new,2
120,1
GB,4
drive,9
thanks,1
urlLink,1
Slickdeals,1
last,1
week,1
finally,3
got,3
around,2
putting,1
30,3
into,2
The,1
problems,1
started,3
then,1
Since,1
already,1
in,2
decided,1
install,5
OpenBSD,2
3,1
4,1
on,2
before,1
transferring,1
went,1
smoothly,1
but,3
would,5
not,1
boot,4
when,3
transferred,1
figured,3
just,5
didn,2
t,5
like,3
transfer,1
reinstalled,1
while,1
When,2
tried,1
after,1
second,1
bootloader,2
come,1
up,5
crap,1
After,1
45,1
minutes,2
of,1
playing,1
BIOS,1
sequence,1
out,2
wouldn,1
unless,1
primary,1
IDE,1
chain,1
Ok,1
installing,2
OBSD,1
first,1
steps,1
are,2
ports,1
tree,1
tcsh,3
vim,2
source,1
add,1
mbibik,1
as,5
user,1
far,1
compiling,2
static,1
froze,1
hard,1
whatever,1
random,1
lockup,1
Nope,1
anytime,1
taxed,1
processor,1
freeze,1
Obviously,1
at,2
least,1
me,1
this,3
seemed,2
heat,1
issue,1
opened,1
case,2
check,1
CPU,2
fan,2
s,1
fairly,1
small,1
AKA,1
cramped,1
couldn,1
see,1
behind,1
power,1
supply,1
monitored,1
temp,1
never,1
dangerous,1
territory,1
gave,2
point,2
told,1
Russell,1
be,1
down,1
awhile,1
no,3
play,1
again,1
there,1
isn,1
much,1
you,1
can,1
do,1
damned,1
thing,1
freezes,1
every,1
15,1
trying,1
etc,1
surfing,1
net,1
from,1
Oddly,1
enough,1
lock,1
At,1
realized,1
interactive,1
activities,1
such,1
probably,1
accessing,1
disk,2
more,1
than,1
using,1
which,1
only,1
access,1
periodically,1
write,1
logs,1
switched,1
back,1
all,1
well,1
Too,1
bad,1
fried,1
