,frequency
So,1
little,1
time,4
or,2
energy,1
to,11
post,1
Suppa,1
happy,1
fun,1
bullets,1
are,1
all,2
you,1
get,1
Kat,2
and,13
I,29
didn,4
t,8
do,2
much,2
this,3
Fourth,1
of,11
July,1
weekend,1
We,2
both,1
had,9
difficult,1
weeks,1
especially,1
the,20
night,2
where,1
left,1
work,3
at,3
12,1
45,1
AM,2
then,2
was,4
up,4
for,3
next,2
day,1
before,2
7,1
so,8
we,4
just,4
took,1
it,10
easy,1
Her,1
parents,1
backyard,1
overlooks,1
Seattle,1
were,1
able,1
see,1
four,1
different,1
fireworks,1
displays,1
once,1
Elliot,1
Bay,2
Gasworks,1
Yarrow,1
Kirkland,1
Tonight,1
second,1
game,4
summer,1
FloorBurn,1
season,2
m,2
captain,1
already,3
ve,4
made,1
a,15
mistake,1
inform,1
everyone,2
week,1
assuming,1
that,5
manager,1
would,1
take,1
care,1
like,2
last,2
only,2
4,1
people,2
showed,1
A,1
couple,1
subbed,1
us,1
ended,1
winning,1
3,1
1,2
almost,2
hat,1
trick,1
but,4
pass,2
got,1
right,1
in,3
front,1
goal,2
actually,1
about,3
go,4
into,1
let,1
by,1
spent,1
eight,1
hours,1
working,1
on,2
my,4
yearly,1
review,1
Microsoft,1
third,1
way,2
completed,1
It,2
is,9
important,2
not,1
want,1
fatty,1
raise,1
can,4
afford,1
new,2
car,6
570,1
month,1
rent,1
This,1
happened,1
two,1
weekends,1
ago,1
Eric,3
Jenn,1
fame,1
town,1
grabbed,1
some,2
dinner,1
dessert,1
good,1
long,3
enough,1
an,3
early,1
morning,1
appointment,1
call,1
around,1
9,1
PM,1
The,1
still,2
super,2
sweet,3
To,1
measure,2
how,1
picked,1
urlLink,1
G,1
Tech,1
Performance,1
Meter,1
Pro,1
haven,3
chance,1
try,1
out,4
yet,3
Well,1
piece,1
flat,1
dry,1
non,1
cop,1
infested,1
road,1
really,2
wring,1
with,1
In,1
While,1
oh,1
smooth,2
shifter,2
becoming,1
less,1
There,1
hesitation,1
as,1
returns,1
neutral,1
gear,2
seems,1
linkage,1
jammed,1
Oh,1
well,1
should,1
itself,1
otherwise,1
going,1
dealer,1
drive,1
hard,1
grind,1
nor,1
have,1
missed,1
shift,1
If,1
there,1
problem,1
wasn,1
fault,1
been,1
playing,1
ton,1
GT3,1
lately,1
now,2
Russ,1
has,1
moved,1
play,2
races,2
sets,1
leave,1
PS2,2
running,1
while,1
bit,1
something,1
else,1
back,1
unmolested,1
won,1
F1,1
s,1
basically,1
How,1
many,1
times,1
win,1
love,1
