,frequency
Grushenka,1
was,4
twenty,1
two,1
years,1
old,1
and,5
her,7
face,3
looked,2
exactly,1
that,1
age,1
She,1
had,1
very,1
white,1
skin,1
with,2
a,3
pale,1
pink,1
tint,1
on,1
cheeks,1
The,1
modeling,1
of,2
might,1
be,2
said,1
to,1
too,1
broad,1
the,5
lower,2
jaw,1
set,1
trifle,1
forward,1
Her,1
upper,1
lip,2
thin,1
but,1
slightly,1
prominent,1
at,2
least,1
twice,1
as,1
full,1
pouting,1
But,1
magnificent,1
abundant,1
dark,1
brown,1
hair,1
sable,1
colored,1
eyebrows,1
charming,1
grey,1
blue,1
eyes,1
their,1
long,2
lashes,1
woukd,1
have,1
made,1
most,1
indifferent,1
person,1
meeting,1
casually,1
in,2
crowd,1
street,1
stop,1
sight,1
remember,1
it,1
after,1
F,1
Dostoyevsky,1
