,frequency
Dialing,1
the,34
time,2
machine,1
back,3
to,10
about,3
a,23
month,2
ago,1
So,1
holiday,3
parties,5
last,2
All,1
three,1
were,6
right,1
in,7
row,1
this,3
year,1
Thursday,2
was,19
organization,1
wide,2
party,6
at,9
EMP,2
Friday,1
team,4
lodge,1
Snoqualmie,2
Pass,3
and,14
Saturday,1
Kat,4
s,3
some,5
little,3
restaurant,2
Puyallup,1
started,1
off,2
very,2
slowly,1
I,16
supposed,5
meet,1
of,17
younger,1
members,1
my,4
around,1
7,2
30,3
PM,3
eventhough,1
got,3
there,4
45,1
still,2
early,1
Eventually,1
everyone,1
showed,2
up,8
picked,2
The,6
food,2
good,1
but,6
two,3
drink,1
tickets,2
didn,3
t,8
long,1
Being,1
ingenious,1
people,3
that,6
we,7
are,1
us,3
Microsoft,1
figured,1
out,2
could,1
simply,1
exit,3
building,1
come,1
show,1
our,1
ID,2
get,2
more,2
Of,1
course,1
do,1
used,1
by,1
non,1
Microsoftie,1
for,4
purpose,1
Afterward,1
few,2
go,1
bar,1
all,4
parted,1
ways,1
bit,2
reconvene,1
15,2
minutes,2
later,2
one,1
girls,1
hadn,1
We,1
drunk,1
antsy,1
away,1
from,3
formal,1
so,1
just,2
left,1
Four,1
went,1
over,1
friends,1
place,1
continued,1
drinking,1
watched,1
TV,1
ended,1
fitting,1
five,1
car,1
dropped,1
them,2
called,1
it,3
night,3
next,1
day,3
start,1
10,1
AM,2
since,3
knew,1
no,1
rush,1
end,1
getting,1
until,2
12,1
drive,1
interesting,1
least,1
fact,1
first,1
snow,2
had,3
ever,1
seen,1
Washington,1
farther,1
mountain,1
shocking,1
know,1
By,1
hit,1
traffic,1
down,1
MPH,1
actually,1
passed,1
someone,2
on,2
which,1
wasn,3
surprising,1
he,1
RWD,1
Bimmer,1
with,4
bald,1
tires,1
Anyway,2
most,1
pretty,1
laid,1
A,1
highlights,1
included,3
me,1
running,1
white,3
elephant,3
gift,4
exchange,3
including,1
box,1
old,1
Atari,1
games,1
Nascar,1
coffee,2
table,2
book,1
bike,1
axle,1
playing,1
DDR,1
snowball,1
fight,1
hot,1
tub,1
airport,1
can,1
remember,1
rest,1
evening,1
final,1
crappy,2
town,1
far,2
south,1
Seattle,1
This,1
coworkers,1
who,1
an,1
average,1
age,1
35,1
It,1
slightly,1
odd,1
socializing,1
luckily,1
friendliest,1
bunch,1
horrible,1
drinks,1
crap,1
brought,1
gag,1
point,1
yet,1
other,1
gifts,1
fondue,1
set,2
nice,1
martini,1
glasses,1
clock,1
Pottery,1
Barn,1
For,1
dessert,1
ordered,1
decaf,2
Since,1
awake,1
5,1
hours,1
sleep,1
believe,1
overall,1
typical,1
work,1
