,word,stem
0,I,I
1,found,found
2,urlLink,urllink
3,new,new
4,cell,cell
5,phone,phone
6,put,put
7,buying,buy
8,one,one
9,almost,almost
10,year,year
11,The,the
12,pager,pager
13,provided,provid
14,work,work
15,enough,enough
16,keep,keep
17,touch,touch
18,everyone,everyon
19,two,two
20,instances,instanc
21,people,peopl
22,needed,need
23,get,get
24,failed,fail
25,main,main
26,problem,problem
27,connectionless,connectionless
28,communication,commun
29,Someone,someon
30,dails,dail
31,number,number
32,sends,send
33,email,email
34,zero,zero
35,confirmation,confirm
36,page,page
37,actually,actual
38,received,receiv
39,With,with
40,know,know
41,instantaneously,instantan
42,Pagers,pager
43,banned,ban
