,word,stem
0,urlLink,urllink
1,Forget,forget
2,spies,spi
3,let,let
4,psychic,psychic
5,viewers,viewer
6,job,job
7,CIA,cia
8,partially,partial
9,declassified,declassifi
10,experiments,experi
11,world,world
12,found,found
13,America,america
14,remote,remot
15,viewing,view
16,sitting,sit
17,confines,confin
18,US,US
19,laboratory,laboratori
20,reported,report
21,uncanny,uncanni
22,accuracy,accuraci
23,military,militari
24,developments,develop
25,distant,distant
26,Russia,russia
27,Now,now
28,former,former
29,physicist,physicist
30,Bhabha,bhabha
31,Atomic,atom
32,Research,research
33,Centre,centr
34,one,one
35,India,india
36,best,best
37,known,known
38,parapsychologists,parapsychologist
39,placed,place
40,proposal,propos
41,Indian,indian
42,Government,govern
43,experiment,experi
44,security,secur
45,purposes,purpos
