,word,stem
0,Human,human
1,Rights,right
2,Dutch,dutch
3,civil,civil
4,servants,servant
5,wed,wed
6,nearly,nearli
7,2,2
8,000,000
9,sex,sex
10,couples,coupl
11,first,first
12,six,six
13,months,month
14,gay,gay
15,marriages,marriag
16,legalized,legal
17,2001,2001
18,government,govern
19,agency,agenc
20,said,said
21,Wednesday,wednesday
22,The,the
23,marriage,marriag
24,law,law
25,took,took
26,effect,effect
27,April,april
28,1,1
29,made,made
30,Netherlands,netherland
31,country,countri
32,grant,grant
33,rights,right
34,heterosexual,heterosexu
35,including,includ
36,right,right
37,adopt,adopt
38,children,children
39,Central,central
40,Bureau,bureau
41,Statistics,statist
42,100,100
43,men,men
44,700,700
45,women,women
46,married,marri
47,someone,someon
48,September,septemb
49,30,30
50,What,what
51,done,done
52,world,world
53,today,today
54,http,http
55,www,www
56,worldcampaign,worldcampaign
57,net,net
58,activate,activ
59,htm,htm
