,word,lemma
0,Here,here
1,doctor,doctor
2,says,say
3,I,I
4,ACUTE,acut
5,BRONCHITIS,bronchiti
6,Bronchitis,bronchiti
7,inflammation,inflamm
8,bronchial,bronchial
9,tubes,tube
10,bronchi,bronchi
11,air,air
12,passages,passag
13,extend,extend
14,windpipe,windpip
15,lungs,lung
16,The,the
17,may,may
18,caused,caus
19,virus,viru
20,bacteria,bacteria
21,smoking,smoke
22,inhalation,inhal
23,chemical,chemic
24,pollutants,pollut
25,dust,dust
26,When,when
27,cells,cell
28,lining,line
29,tissue,tissu
30,irritated,irrit
31,beyond,beyond
32,certain,certain
33,point,point
34,tiny,tini
35,hairs,hair
36,cilia,cilia
37,within,within
38,normally,normal
39,trap,trap
40,eliminate,elimin
41,stop,stop
42,functioning,function
43,Consequently,consequ
44,become,becom
45,clogged,clog
46,debris,debri
47,irritation,irrit
48,increases,increas
49,In,In
50,response,respons
51,heavy,heavi
52,secretion,secret
53,mucus,mucu
54,develops,develop
55,causes,caus
56,characteristic,characterist
57,cough,cough
58,bronchitis,bronchiti
59,Acute,acut
60,usually,usual
61,lasts,last
62,10,10
63,days,day
64,Severe,sever
65,cases,case
66,also,also
67,cause,caus
68,general,gener
69,malaise,malais
70,chest,chest
71,pain,pain
